Elapsed Time (ms);Package Energy (µJ);DRAM Energy (µJ);Temperature (C°);BenchmarkReturnValue
3585.653199999826;130210482;1994746;56;
3564.9576000000816;127060039;1982905;56;
3562.1784000000916;126945292;1981318;56.5;
3577.8927000002004;128286110;1990169;56.5;
3566.3533000000753;127494791;1983881;56;
3615.7946999999695;128198281;2010737;57;
3566.121199999936;126612468;1983516;57;
3569.83629999985;127459269;1985773;56.5;
3560.091000000015;126320966;1979609;57;
3575.7698999999557;128189186;1992915;56.5;
3579.3655999999028;128527869;1991206;56.5;
3571.8987000000197;127670511;1987116;57;
3625.062200000044;128643713;2018123;56.5;
3588.4835999999195;128917700;1996638;55.5;
3583.5424999999814;128960973;1992976;57;
3564.5737000000663;126667461;1982417;57;
3578.4177000001073;128142434;1990168;57;
3578.6695000000764;128199134;1990779;57;
3567.3601999999955;126558697;1984675;57.5;
3573.375699999975;127274577;1987422;56.5;
3561.6156999999657;126392011;1980708;57;
3559.2269999999553;126107709;1979670;57;
3561.9854999999516;126271344;1981196;56;
3565.5209000001196;126902812;1982905;56.5;
3635.941499999957;128921240;2022456;56;
3561.3913999998476;126250592;1980708;56.5;
3559.6426000001375;126339764;1980158;56;
3565.311299999943;126257368;1982905;56;
3583.306399999885;128531837;1992915;56.5;
3582.75540000014;129562657;1992975;57;
3563.343200000003;127034403;1983150;57;
3581.1000999999233;128284218;1992243;57;
3574.7894999999553;128816015;1988154;57.5;
3576.976400000043;127732523;1989069;57;
3558.936999999918;126217572;1979853;57;
3570.934300000081;126980632;1986323;56;
3559.745499999961;126092695;1980159;56.5;
3561.1322999999393;126120465;1980158;56.5;
3602.6084999998566;128311439;2003596;57;
3556.2723999999;126042951;1977961;56.5;
3559.975400000112;126182477;1980220;56;
3565.1169000000227;126492657;1982905;56.5;
3561.2927000001073;126262189;1980647;56;
3557.7024999998976;126071455;1978450;56.5;
3564.753299999982;126531598;1982356;56;
3581.1746999998577;128071450;1991878;56;
3579.5129000002053;129011205;1991389;56.5;
3560.316400000127;126337995;1980097;55.5;
3583.338699999964;129485691;1992976;56.5;
3566.5215000000317;126541302;1984004;57;
3576.1151000000536;128231301;1989131;56.5;
3583.149899999844;129383946;1992976;57;
3586.716199999908;127808572;1995173;57;
3568.9551000001375;126874065;1985163;56.5;
3562.601100000087;126640178;1981807;56.5;
3584.3521000000183;128185829;1993525;56;
3561.965699999826;126321087;1981257;56.5;
3561.130000000121;126260053;1981135;55.5;
3559.2722000000067;126430951;1979670;57;
3571.151899999939;126891154;1986201;56.5;
3553.2934999999125;126194806;1976253;57;
3559.815900000045;126108381;1980158;56;
3560.2997999999207;126138349;1980159;56;
3567.3908000001684;126535687;1984004;56.5;
3557.902599999914;125994184;1979060;56;
3565.38040000014;126296674;1982905;56.5;
3564.3538999999873;126630901;1982966;56.5;
3584.2387000001036;127608743;1993525;56;
3572.132100000046;127314981;1986873;57;
3568.401700000046;126679608;1984553;56.5;
3568.3234999999404;126922771;1984614;56.5;
3558.5753999999724;126093061;1979548;56.5;
3577.1482000001706;127401651;1989619;56;
3575.9242000000086;127300333;1989497;57.5;
3572.6033999999054;128876990;1986933;57.5;
3561.2054000000935;126172834;1980708;56.5;
3560.1075999999885;126209638;1980159;56.5;
3559.2593000000343;126076093;1979670;56.5;
3560.4779000000563;126081098;1980708;56.5;
3571.3666000000667;127102214;1987056;56.5;
3579.8836000000592;129098608;1992793;57;
3572.5855000000447;126918987;1987604;57;
3565.3941999999806;126775188;1983150;57;
3577.943100000033;128085427;1990778;57;
3568.714799999958;126847880;1984736;57;
3566.773899999913;126674541;1984064;57.5;
3562.6647999999113;126396649;1981380;57.5;
3570.445400000084;127622842;1985774;57;
3581.0585000002757;127453165;1992487;56.5;
3561.3229000000283;126130231;1980768;56.5;
3566.4777999999933;126818706;1984065;56.5;
3575.879900000058;128041116;1989131;56.5;
3574.403700000141;127152201;1988520;57;
3565.5125000001863;126911296;1983943;55.5;
3567.0202999999747;126748882;1984187;56;
3555.6664999998175;126058210;1977961;56;
3570.161600000225;128001687;1985774;56;
3584.129900000058;129720004;1993891;57;
3574.8547000000253;129381017;1988582;56.5;
3567.222399999853;127379557;1984125;56.5;
3568.9569999999367;127611795;1985163;56.5;
3573.384200000204;128526953;1987849;57;
3571.224300000351;128000832;1986872;57.5;
3582.8084000004455;129959812;1993037;57;
3563.148699999787;126788188;1981868;57;
3553.4525000001304;126353437;1976862;57;
3577.7060000002384;129660739;1990169;57;
3576.1344999996945;129085974;1989130;57;
3560.348600000143;126573955;1980708;56.5;
3562.3621000000276;126494183;1981807;56.5;
3554.9901000000536;126152143;1977350;57;
3557.5200000000186;126302533;1979060;57;
3573.4597000000067;127404703;1987361;57;
3582.334499999881;128751441;1992976;57;
3560.352200000081;126564190;1981501;57;
3556.7035000002943;126197553;1978022;57.5;
3566.8378000003286;127440165;1984126;57;
3585.4188999999315;128105629;1994074;56.5;
3583.086999999825;129813815;1993525;57;
3559.3673000000417;126620892;1979609;57;
3555.089300000109;126534039;1978023;56.5;
3561.2560999998823;126812725;1980707;56.5;
3560.7974999998696;126761943;1980769;57;
3557.3300000000745;126602215;1979060;57;
3696.2422000002116;131261932;2055781;56.5;
3579.666500000283;129499974;1991267;56.5;
3561.9494999996386;126270856;1981257;56.5;
3563.157800000161;126585125;1982356;56.5;
3559.3075000001118;126364972;1979975;57;
3574.2266999999993;127221476;1988643;57;
3566.0424999999814;127218241;1983515;57;
3573.401099999901;127689798;1987910;57;
3559.5466000000015;126685161;1980220;56.5;
3563.6483000000007;126381146;1981806;56;
3574.507300000172;127722024;1987971;56.5;
3574.0819000001065;128636573;1988582;56.5;
3558.970300000161;126595379;1979548;56;
3560.3242000001483;126573956;1980219;56.5;
3690.3651000000536;131008698;2054011;56.5;
3564.816200000234;126447186;1983149;56;
3558.6362999998964;126480755;1979671;56.5;
3560.6488000000827;126602460;1981318;57;
3559.253599999938;126532390;1979731;57;
3559.0085999998264;126219526;1980159;57;
3561.8303999998607;126904033;1981257;56.5;
3562.30700000003;126239423;1981318;56.5;
3568.243799999822;126601055;1985224;56.5;
3565.348500000313;126250593;1982966;56.5;
3554.18759999983;126034651;1976801;57;
3566.689999999944;127108561;1984065;57;
3566.4172000000253;127553079;1984065;57;
3576.9577000001445;129003942;1989680;57.5;
3652.1102999998257;130619905;2032038;57.5;
3567.2642000000924;127115886;1984736;57;
3556.776099999901;126596783;1978633;57.5;
3560.1787000000477;126627971;1980219;57.5;
3572.3229000000283;127906594;1987361;57;
3564.8900999999605;126526654;1982966;57;
3587.1835000002757;130565034;1995173;57;
3565.282199999783;127400370;1982906;57;
3553.0840000002645;127041606;1976252;57;
3558.75130000012;126084028;1978999;56.5;
3555.8912999997847;126089704;1977901;56.5;
3578.851000000257;129455601;1990717;57;
3584.4567999998108;129134496;1994563;57.5;
3563.309599999804;126567791;1981867;57.5;
3597.219000000041;128672950;2001277;57;
3576.9205000000075;128193031;1990412;57;
3570.5781000000425;127822182;1986445;57.5;
3582.152999999933;128683570;1992488;57;
3579.405700000003;128356360;1990901;57;
3570.44000000041;127645426;1986323;57;
3586.534599999897;130793244;1995295;57.5;
3586.4322000001557;129433751;1994685;57.5;
3572.935000000056;127508158;1987361;57.5;
3571.084799999837;127324198;1986323;57.5;
3562.055299999658;126487835;1981318;57;
3560.338899999857;126865825;1981135;57;
3569.6683000000194;127629007;1985774;56.5;
3583.8259999998845;130253390;1993586;56;
3636.712700000033;129270298;2023005;56;
3585.5430999998935;129927829;1994685;56.5;
3565.1101000001654;127410319;1982966;57;
3560.679099999834;127160624;1980708;57;
3558.024399999995;126784527;1979060;57.5;
3568.2672999999486;127219401;1984614;57.5;
3559.5749999997206;127419352;1980525;57;
3567.4229000001214;126495342;1984797;57.5;
3552.6462000003085;126394086;1976375;58;
3575.505700000096;128551001;1988581;57.5;
3575.1817000000738;128305092;1989069;57;
3570.3308000001125;127697366;1985713;56.5;
3562.6188000002876;126951762;1981868;56.5;
3567.698600000236;127602579;1984614;57.5;
3584.0496999998577;127596231;1993525;57;
3562.7411000002176;126747784;1981807;56.5;
3562.6104999999516;126503399;1981257;57;
3562.8061000001617;126487347;1981806;57.5;
3569.1087000002153;128128700;1986506;57.5;
3564.6447999998927;127041423;1983028;57;
3574.434499999974;128199745;1987971;57.5;
3564.8983000000007;126854839;1982966;57.5;
3563.851300000213;128119301;1982478;57;
3565.94430000009;126856243;1983515;57;
3570.2028999999166;127283610;1985957;57;
3562.6900999997742;126536297;1981929;57;
3576.162700000219;128480811;1989741;57.5;
3579.4445999995805;129214452;1990778;57.5;
3596.241099999752;129681126;2000178;57;
3565.158900000155;127133464;1983028;56;
3563.6517000002787;126638042;1982355;56.5;
3561.7857999997213;126640545;1981258;57;
3559.9909000000916;126604962;1980707;56.5;
3582.715900000185;127585550;1992366;57;
3567.8332000002265;127177469;1984553;57;
3563.402199999895;126754986;1981807;56.5;
3563.1118000000715;127563821;1982416;57;
