Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
matrix-multiplication,0.07,0.05,0.0,0.0,2.11,0.0,0
matrix-multiplication,0.08,0.05,0.0,0.0,1.8,0.0,0
matrix-multiplication,0.09,0.05,0.0,0.0,1.87,0.0,0
matrix-multiplication,0.06,0.04,0.0,0.0,1.94,0.0,0
matrix-multiplication,0.06,0.04,0.0,0.0,1.97,0.0,0
matrix-multiplication,0.06,0.04,0.0,0.0,2.03,0.0,0
matrix-multiplication,0.06,0.04,0.0,0.0,2.35,0.0,0
matrix-multiplication,0.06,0.03,0.0,0.0,2.15,0.0,0
matrix-multiplication,0.07,0.03,0.0,0.0,2.28,0.0,0
matrix-multiplication,0.05,0.03,0.0,0.0,2.28,0.0,0
