Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
n-body,137.81,96.65,0.0,2.08,3719.09,42.27,0
n-body,137.87,96.59,0.0,2.09,3730.27,42.27,0
n-body,135.77,94.8,0.0,2.07,3699.3,42.27,0
n-body,136.21,95.38,0.0,2.07,3689.15,42.27,0
n-body,136.67,95.59,0.0,2.08,3709.54,42.27,0
n-body,137.46,96.41,0.0,2.08,3708.87,42.27,0
n-body,137.8,96.75,0.0,2.08,3706.46,42.27,0
n-body,138.19,96.94,0.0,2.09,3725.8,42.27,0
n-body,135.11,94.42,0.0,2.06,3676.16,42.27,0
n-body,135.75,94.89,0.0,2.07,3691.04,42.27,0
