Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
mandelbrot,92.86,80.12,0.0,0.67,1149.81,33.75,0
mandelbrot,98.69,83.39,0.0,0.8,1379.32,33.75,0
mandelbrot,98.37,83.25,0.0,0.8,1364.97,33.75,0
mandelbrot,86.52,75.29,0.0,0.59,1015.64,33.75,0
mandelbrot,86.46,75.19,0.0,0.6,1015.29,33.75,0
mandelbrot,86.82,75.65,0.0,0.59,1011.59,33.75,0
mandelbrot,86.09,74.89,0.0,0.59,1012.52,33.75,0
mandelbrot,98.16,82.86,0.0,0.8,1383.09,33.75,0
mandelbrot,99.44,84.36,0.0,0.79,1362.04,33.75,0
mandelbrot,88.04,76.75,0.0,0.6,1018.83,33.75,0
