Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
regex-redux,36.32,26.66,0.0,0.65,869.9,150.45,0
regex-redux,36.52,26.89,0.0,0.65,868.3,150.45,0
regex-redux,36.39,26.76,0.0,0.65,869.67,150.45,0
regex-redux,36.36,26.67,0.0,0.66,873.13,150.45,0
regex-redux,36.74,27.06,0.0,0.66,874.79,150.45,0
regex-redux,36.81,27.03,0.0,0.66,879.78,150.45,0
regex-redux,36.44,26.81,0.0,0.65,866.64,150.45,0
regex-redux,36.55,26.99,0.0,0.64,859.75,150.45,0
regex-redux,36.34,26.72,0.0,0.66,865.94,150.45,0
regex-redux,36.71,27.01,0.0,0.66,875.61,150.45,0
