Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
spectral-norm,29.24,26.39,0.0,0.14,256.9,2.37,0
spectral-norm,29.15,26.28,0.0,0.14,259.04,2.37,0
spectral-norm,29.64,26.83,0.0,0.14,256.23,2.37,0
spectral-norm,28.81,25.98,0.0,0.14,259.34,2.37,0
spectral-norm,28.54,25.61,0.0,0.15,260.81,2.37,0
spectral-norm,28.45,25.56,0.0,0.15,260.81,2.37,0
spectral-norm,29.19,26.29,0.0,0.15,260.94,2.37,0
spectral-norm,28.82,25.89,0.0,0.15,261.75,2.37,0
spectral-norm,29.37,26.57,0.0,0.14,258.65,2.37,0
spectral-norm,29.07,26.15,0.0,0.15,260.65,2.37,0
