Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
n-body,129.6,89.28,0.0,2.03,3642.96,30.11,0
n-body,133.17,93.11,0.0,2.02,3617.81,30.11,0
n-body,132.13,92.25,0.0,2.01,3600.24,30.11,0
n-body,132.35,92.38,0.0,2.01,3613.54,30.11,0
n-body,133.06,93.06,0.0,2.01,3611.53,30.11,0
n-body,132.99,93.03,0.0,2.01,3610.08,30.11,0
n-body,131.42,91.78,0.0,2.0,3579.68,30.11,0
n-body,127.08,87.97,0.0,1.97,3535.19,30.11,0
n-body,131.87,91.95,0.0,2.01,3609.94,30.11,0
n-body,132.43,92.45,0.0,2.01,3613.18,30.11,0
