Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
reverse-complement,29.0,22.07,0.0,0.82,615.05,743.72,0
reverse-complement,29.08,22.22,0.0,0.81,606.92,743.72,0
reverse-complement,28.89,21.9,0.0,0.82,617.6,743.72,0
reverse-complement,28.89,22.04,0.0,0.82,609.41,743.72,0
reverse-complement,28.94,22.09,0.0,0.81,605.79,743.72,0
reverse-complement,29.04,22.22,0.0,0.82,604.07,743.72,0
reverse-complement,29.09,22.23,0.0,0.82,608.13,743.72,0
reverse-complement,29.01,22.22,0.0,0.82,602.02,743.72,0
reverse-complement,28.98,22.1,0.0,0.81,607.62,743.72,0
reverse-complement,30.1,22.88,0.0,0.83,637.47,743.72,0
