Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
n-body,86.17,62.02,0.0,1.22,2182.17,1.87,0
n-body,85.35,61.37,0.0,1.21,2168.5,1.87,0
n-body,84.73,60.89,0.0,1.2,2155.42,1.87,0
n-body,86.17,62.05,0.0,1.21,2179.09,1.87,0
n-body,86.06,61.94,0.0,1.21,2177.78,1.87,0
n-body,84.7,60.89,0.0,1.2,2151.19,1.87,0
n-body,85.59,61.64,0.0,1.21,2167.93,1.87,0
n-body,86.05,61.99,0.0,1.21,2176.97,1.87,0
n-body,86.22,62.13,0.0,1.21,2178.53,1.87,0
n-body,83.78,60.15,0.0,1.19,2134.16,1.87,0
