Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
regex-redux,365.02,276.67,0.0,4.89,7977.37,212.35,0
regex-redux,366.4,277.48,0.0,4.89,8031.69,212.35,0
regex-redux,362.24,274.16,0.0,4.85,7954.35,212.35,0
regex-redux,366.68,277.86,0.0,4.88,8019.66,212.35,0
regex-redux,363.2,274.79,0.0,4.86,7984.18,212.35,0
regex-redux,365.1,276.77,0.0,4.86,7973.69,212.35,0
regex-redux,364.35,275.57,0.0,4.89,8015.39,212.35,0
regex-redux,366.73,277.69,0.0,4.9,8036.08,212.35,0
regex-redux,364.59,276.42,0.0,4.85,7962.44,212.35,0
regex-redux,361.22,273.28,0.0,4.84,7938.56,212.35,0
