Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
reverse-complement,17.03,13.37,0.0,0.43,324.05,241.87,0
reverse-complement,17.24,13.55,0.0,0.43,324.54,241.87,0
reverse-complement,17.19,13.51,0.0,0.43,324.82,241.87,0
reverse-complement,17.29,13.58,0.0,0.43,326.88,241.87,0
reverse-complement,17.31,13.62,0.0,0.43,325.97,241.87,0
reverse-complement,17.27,13.6,0.0,0.43,324.05,241.87,0
reverse-complement,17.24,13.61,0.0,0.43,322.6,241.87,0
reverse-complement,17.35,13.68,0.0,0.43,323.79,241.87,0
reverse-complement,17.44,13.75,0.0,0.43,327.38,241.87,0
reverse-complement,17.38,13.67,0.0,0.43,327.98,241.87,0
