Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
fannkuch-redux,473.3,426.84,0.0,2.35,4197.66,44.35,0
fannkuch-redux,460.01,414.01,0.0,2.33,4155.04,44.35,0
fannkuch-redux,452.83,407.72,0.0,2.28,4073.89,44.35,0
fannkuch-redux,410.92,363.03,0.0,2.42,4324.95,44.35,0
fannkuch-redux,317.01,262.97,0.0,2.73,4882.15,44.35,0
fannkuch-redux,310.54,257.49,0.0,2.68,4793.09,44.35,0
fannkuch-redux,312.31,258.96,0.0,2.7,4820.06,44.35,0
fannkuch-redux,312.61,259.22,0.0,2.7,4822.94,44.35,0
fannkuch-redux,319.39,264.96,0.0,2.75,4916.91,44.35,0
fannkuch-redux,318.52,264.19,0.0,2.75,4910.4,44.35,0
