Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
regex-redux,252.52,209.48,0.0,3.04,3868.29,666.8,0
regex-redux,251.62,208.68,0.0,3.02,3860.81,666.8,0
regex-redux,246.17,205.81,0.0,2.87,3628.77,666.8,0
regex-redux,254.98,211.08,0.0,3.05,3948.9,666.8,0
regex-redux,250.59,209.42,0.0,2.91,3699.07,666.8,0
regex-redux,254.25,210.94,0.0,3.03,3890.81,666.8,0
regex-redux,256.62,213.08,0.0,3.04,3911.66,666.8,0
regex-redux,240.46,202.18,0.0,2.75,3438.03,666.8,0
regex-redux,246.92,205.65,0.0,2.93,3709.45,666.8,0
regex-redux,255.53,211.76,0.0,3.05,3932.84,666.8,0
