Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
spectral-norm,38.42,33.53,0.0,0.26,441.36,44.56,0
spectral-norm,37.05,31.63,0.0,0.29,488.81,44.56,0
spectral-norm,38.65,33.87,0.0,0.26,431.07,44.56,0
spectral-norm,38.46,33.78,0.0,0.25,423.05,44.56,0
spectral-norm,38.26,33.61,0.0,0.25,421.51,44.56,0
spectral-norm,39.39,34.63,0.0,0.26,432.86,44.56,0
spectral-norm,38.75,33.98,0.0,0.25,427.53,44.56,0
spectral-norm,38.54,33.83,0.0,0.25,424.79,44.56,0
spectral-norm,38.82,34.1,0.0,0.25,426.23,44.56,0
spectral-norm,38.31,33.61,0.0,0.25,423.9,44.56,0
