Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
fannkuch-redux,761.91,680.33,0,4.37,7368.26,30.49,0
fannkuch-redux,701.71,634.79,0,3.37,6043.92,30.49,0
fannkuch-redux,594.81,520.53,0,3.74,6706.14,30.49,0
fannkuch-redux,493.13,418.01,0,3.78,6785.56,30.49,0
fannkuch-redux,495.76,420.1,0,3.82,6837.2,30.49,0
fannkuch-redux,497.25,421.54,0,3.81,6837.49,30.49,0
fannkuch-redux,493.01,417.81,0,3.79,6791.17,30.49,0
fannkuch-redux,491.54,416.71,0,3.77,6757.52,30.49,0
fannkuch-redux,503.32,426.57,0,3.86,6930.4,30.49,0
fannkuch-redux,490.29,415.54,0,3.76,6751.6,30.49,0
fannkuch-redux,761.91,680.33,0,4.37,7368.26,30.49,0
fannkuch-redux,701.71,634.79,0,3.37,6043.92,30.49,0
fannkuch-redux,594.81,520.53,0,3.74,6706.14,30.49,0
fannkuch-redux,493.13,418.01,0,3.78,6785.56,30.49,0
fannkuch-redux,495.76,420.1,0,3.82,6837.2,30.49,0
fannkuch-redux,497.25,421.54,0,3.81,6837.49,30.49,0
fannkuch-redux,493.01,417.81,0,3.79,6791.17,30.49,0
fannkuch-redux,491.54,416.71,0,3.77,6757.52,30.49,0
fannkuch-redux,503.32,426.57,0,3.86,6930.4,30.49,0
fannkuch-redux,490.29,415.54,0,3.76,6751.6,30.49,0
fannkuch-redux,761.91,680.33,0,4.37,7368.26,30.49,0
fannkuch-redux,701.71,634.79,0,3.37,6043.92,30.49,0
fannkuch-redux,594.81,520.53,0,3.74,6706.14,30.49,0
fannkuch-redux,493.13,418.01,0,3.78,6785.56,30.49,0
fannkuch-redux,495.76,420.1,0,3.82,6837.2,30.49,0
fannkuch-redux,497.25,421.54,0,3.81,6837.49,30.49,0
fannkuch-redux,493.01,417.81,0,3.79,6791.17,30.49,0
fannkuch-redux,491.54,416.71,0,3.77,6757.52,30.49,0
fannkuch-redux,503.32,426.57,0,3.86,6930.4,30.49,0
fannkuch-redux,490.29,415.54,0,3.76,6751.6,30.49,0
fannkuch-redux,761.91,680.33,0,4.37,7368.26,30.49,0
fannkuch-redux,701.71,634.79,0,3.37,6043.92,30.49,0
fannkuch-redux,594.81,520.53,0,3.74,6706.14,30.49,0
fannkuch-redux,493.13,418.01,0,3.78,6785.56,30.49,0
fannkuch-redux,495.76,420.1,0,3.82,6837.2,30.49,0
fannkuch-redux,497.25,421.54,0,3.81,6837.49,30.49,0
fannkuch-redux,493.01,417.81,0,3.79,6791.17,30.49,0
fannkuch-redux,491.54,416.71,0,3.77,6757.52,30.49,0
fannkuch-redux,503.32,426.57,0,3.86,6930.4,30.49,0
fannkuch-redux,490.29,415.54,0,3.76,6751.6,30.49,0
fannkuch-redux,761.91,680.33,0,4.37,7368.26,30.49,0
fannkuch-redux,701.71,634.79,0,3.37,6043.92,30.49,0
fannkuch-redux,594.81,520.53,0,3.74,6706.14,30.49,0
fannkuch-redux,493.13,418.01,0,3.78,6785.56,30.49,0
fannkuch-redux,495.76,420.1,0,3.82,6837.2,30.49,0
fannkuch-redux,497.25,421.54,0,3.81,6837.49,30.49,0
fannkuch-redux,493.01,417.81,0,3.79,6791.17,30.49,0
fannkuch-redux,491.54,416.71,0,3.77,6757.52,30.49,0
fannkuch-redux,503.32,426.57,0,3.86,6930.4,30.49,0
fannkuch-redux,490.29,415.54,0,3.76,6751.6,30.49,0
