Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
n-body,100.71,72.34,0,1.47,2564.54,1.87,0
n-body,85.49,61.44,0,1.21,2174.39,1.87,0
n-body,84.98,61.0,0,1.21,2164.09,1.87,0
n-body,84.62,60.54,0,1.21,2174.97,1.87,0
n-body,86.16,61.95,0,1.22,2185.34,1.87,0
n-body,84.84,60.8,0,1.21,2170.45,1.87,0
n-body,85.07,61.13,0,1.2,2160.36,1.87,0
n-body,85.58,61.46,0,1.21,2178.43,1.87,0
n-body,83.92,59.91,0,1.21,2168.8,1.87,0
n-body,86.29,62.07,0,1.22,2186.64,1.87,0
n-body,100.71,72.34,0,1.47,2564.54,1.87,0
n-body,85.49,61.44,0,1.21,2174.39,1.87,0
n-body,84.98,61.0,0,1.21,2164.09,1.87,0
n-body,84.62,60.54,0,1.21,2174.97,1.87,0
n-body,86.16,61.95,0,1.22,2185.34,1.87,0
n-body,84.84,60.8,0,1.21,2170.45,1.87,0
n-body,85.07,61.13,0,1.2,2160.36,1.87,0
n-body,85.58,61.46,0,1.21,2178.43,1.87,0
n-body,83.92,59.91,0,1.21,2168.8,1.87,0
n-body,86.29,62.07,0,1.22,2186.64,1.87,0
n-body,100.71,72.34,0,1.47,2564.54,1.87,0
n-body,85.49,61.44,0,1.21,2174.39,1.87,0
n-body,84.98,61.0,0,1.21,2164.09,1.87,0
n-body,84.62,60.54,0,1.21,2174.97,1.87,0
n-body,86.16,61.95,0,1.22,2185.34,1.87,0
n-body,84.84,60.8,0,1.21,2170.45,1.87,0
n-body,85.07,61.13,0,1.2,2160.36,1.87,0
n-body,85.58,61.46,0,1.21,2178.43,1.87,0
n-body,83.92,59.91,0,1.21,2168.8,1.87,0
n-body,86.29,62.07,0,1.22,2186.64,1.87,0
n-body,100.71,72.34,0,1.47,2564.54,1.87,0
n-body,85.49,61.44,0,1.21,2174.39,1.87,0
n-body,84.98,61.0,0,1.21,2164.09,1.87,0
n-body,84.62,60.54,0,1.21,2174.97,1.87,0
n-body,86.16,61.95,0,1.22,2185.34,1.87,0
n-body,84.84,60.8,0,1.21,2170.45,1.87,0
n-body,85.07,61.13,0,1.2,2160.36,1.87,0
n-body,85.58,61.46,0,1.21,2178.43,1.87,0
n-body,83.92,59.91,0,1.21,2168.8,1.87,0
n-body,86.29,62.07,0,1.22,2186.64,1.87,0
n-body,100.71,72.34,0,1.47,2564.54,1.87,0
n-body,85.49,61.44,0,1.21,2174.39,1.87,0
n-body,84.98,61.0,0,1.21,2164.09,1.87,0
n-body,84.62,60.54,0,1.21,2174.97,1.87,0
n-body,86.16,61.95,0,1.22,2185.34,1.87,0
n-body,84.84,60.8,0,1.21,2170.45,1.87,0
n-body,85.07,61.13,0,1.2,2160.36,1.87,0
n-body,85.58,61.46,0,1.21,2178.43,1.87,0
n-body,83.92,59.91,0,1.21,2168.8,1.87,0
n-body,86.29,62.07,0,1.22,2186.64,1.87,0
