Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
polynomial-evaluation,9.8,6.99,0,0.17,257.65,0.0,0
polynomial-evaluation,0.08,0.09,0,0.0,2.68,0.0,0
polynomial-evaluation,0.12,0.09,0,0.0,2.7,0.0,0
polynomial-evaluation,0.11,0.08,0,0.0,2.62,0.0,0
polynomial-evaluation,0.12,0.09,0,0.0,2.61,0.0,0
polynomial-evaluation,0.11,0.09,0,0.0,2.64,0.0,0
polynomial-evaluation,0.12,0.1,0,0.0,2.83,0.0,0
polynomial-evaluation,0.12,0.09,0,0.0,2.7,0.0,0
polynomial-evaluation,0.12,0.09,0,0.0,2.48,0.0,0
polynomial-evaluation,0.12,0.1,0,0.0,2.66,0.0,0
polynomial-evaluation,9.8,6.99,0,0.17,257.65,0.0,0
polynomial-evaluation,0.08,0.09,0,0.0,2.68,0.0,0
polynomial-evaluation,0.12,0.09,0,0.0,2.7,0.0,0
polynomial-evaluation,0.11,0.08,0,0.0,2.62,0.0,0
polynomial-evaluation,0.12,0.09,0,0.0,2.61,0.0,0
polynomial-evaluation,0.11,0.09,0,0.0,2.64,0.0,0
polynomial-evaluation,0.12,0.1,0,0.0,2.83,0.0,0
polynomial-evaluation,0.12,0.09,0,0.0,2.7,0.0,0
polynomial-evaluation,0.12,0.09,0,0.0,2.48,0.0,0
polynomial-evaluation,0.12,0.1,0,0.0,2.66,0.0,0
polynomial-evaluation,9.8,6.99,0,0.17,257.65,0.0,0
polynomial-evaluation,0.08,0.09,0,0.0,2.68,0.0,0
polynomial-evaluation,0.12,0.09,0,0.0,2.7,0.0,0
polynomial-evaluation,0.11,0.08,0,0.0,2.62,0.0,0
polynomial-evaluation,0.12,0.09,0,0.0,2.61,0.0,0
polynomial-evaluation,0.11,0.09,0,0.0,2.64,0.0,0
polynomial-evaluation,0.12,0.1,0,0.0,2.83,0.0,0
polynomial-evaluation,0.12,0.09,0,0.0,2.7,0.0,0
polynomial-evaluation,0.12,0.09,0,0.0,2.48,0.0,0
polynomial-evaluation,0.12,0.1,0,0.0,2.66,0.0,0
polynomial-evaluation,10.26,7.36,0,0.18,260.91,0.0,0
polynomial-evaluation,0.37,0.35,0,0.0,5.27,0.0,0
polynomial-evaluation,0.42,0.34,0,0.0,5.39,0.0,0
polynomial-evaluation,0.52,0.45,0,0.0,6.43,0.0,0
polynomial-evaluation,0.44,0.4,0,0.0,6.36,0.0,0
polynomial-evaluation,0.52,0.45,0,0.0,6.36,0.0,0
polynomial-evaluation,0.47,0.41,0,0.0,6.01,0.0,0
polynomial-evaluation,0.48,0.42,0,0.0,6.58,0.0,0
polynomial-evaluation,0.43,0.36,0,0.0,5.38,0.0,0
polynomial-evaluation,0.48,0.41,0,0.0,6.53,0.0,0
polynomial-evaluation,10.26,7.36,0,0.18,260.91,0.0,0
polynomial-evaluation,0.37,0.35,0,0.0,5.27,0.0,0
polynomial-evaluation,0.42,0.34,0,0.0,5.39,0.0,0
polynomial-evaluation,0.52,0.45,0,0.0,6.43,0.0,0
polynomial-evaluation,0.44,0.4,0,0.0,6.36,0.0,0
polynomial-evaluation,0.52,0.45,0,0.0,6.36,0.0,0
polynomial-evaluation,0.47,0.41,0,0.0,6.01,0.0,0
polynomial-evaluation,0.48,0.42,0,0.0,6.58,0.0,0
polynomial-evaluation,0.43,0.36,0,0.0,5.38,0.0,0
polynomial-evaluation,0.48,0.41,0,0.0,6.53,0.0,0
