Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
regex-redux,443.58,331.79,0,6.25,10088.96,212.35,0
regex-redux,363.9,275.46,0,4.87,7980.65,212.35,0
regex-redux,365.6,276.62,0,4.9,8030.64,212.35,0
regex-redux,365.34,276.58,0,4.89,8013.91,212.35,0
regex-redux,365.46,277.0,0,4.87,7986.73,212.35,0
regex-redux,361.32,273.27,0,4.85,7950.97,212.35,0
regex-redux,358.56,271.08,0,4.82,7896.45,212.35,0
regex-redux,370.76,280.64,0,4.95,8132.83,212.35,0
regex-redux,358.48,271.05,0,4.82,7889.72,212.35,0
regex-redux,364.12,275.81,0,4.86,7971.59,212.35,0
regex-redux,443.58,331.79,0,6.25,10088.96,212.35,0
regex-redux,363.9,275.46,0,4.87,7980.65,212.35,0
regex-redux,365.6,276.62,0,4.9,8030.64,212.35,0
regex-redux,365.34,276.58,0,4.89,8013.91,212.35,0
regex-redux,365.46,277.0,0,4.87,7986.73,212.35,0
regex-redux,361.32,273.27,0,4.85,7950.97,212.35,0
regex-redux,358.56,271.08,0,4.82,7896.45,212.35,0
regex-redux,370.76,280.64,0,4.95,8132.83,212.35,0
regex-redux,358.48,271.05,0,4.82,7889.72,212.35,0
regex-redux,364.12,275.81,0,4.86,7971.59,212.35,0
regex-redux,443.58,331.79,0,6.25,10088.96,212.35,0
regex-redux,363.9,275.46,0,4.87,7980.65,212.35,0
regex-redux,365.6,276.62,0,4.9,8030.64,212.35,0
regex-redux,365.34,276.58,0,4.89,8013.91,212.35,0
regex-redux,365.46,277.0,0,4.87,7986.73,212.35,0
regex-redux,361.32,273.27,0,4.85,7950.97,212.35,0
regex-redux,358.56,271.08,0,4.82,7896.45,212.35,0
regex-redux,370.76,280.64,0,4.95,8132.83,212.35,0
regex-redux,358.48,271.05,0,4.82,7889.72,212.35,0
regex-redux,364.12,275.81,0,4.86,7971.59,212.35,0
regex-redux,443.58,331.79,0,6.25,10088.96,212.35,0
regex-redux,363.9,275.46,0,4.87,7980.65,212.35,0
regex-redux,365.6,276.62,0,4.9,8030.64,212.35,0
regex-redux,365.34,276.58,0,4.89,8013.91,212.35,0
regex-redux,365.46,277.0,0,4.87,7986.73,212.35,0
regex-redux,361.32,273.27,0,4.85,7950.97,212.35,0
regex-redux,358.56,271.08,0,4.82,7896.45,212.35,0
regex-redux,370.76,280.64,0,4.95,8132.83,212.35,0
regex-redux,358.48,271.05,0,4.82,7889.72,212.35,0
regex-redux,364.12,275.81,0,4.86,7971.59,212.35,0
regex-redux,443.58,331.79,0,6.25,10088.96,212.35,0
regex-redux,363.9,275.46,0,4.87,7980.65,212.35,0
regex-redux,365.6,276.62,0,4.9,8030.64,212.35,0
regex-redux,365.34,276.58,0,4.89,8013.91,212.35,0
regex-redux,365.46,277.0,0,4.87,7986.73,212.35,0
regex-redux,361.32,273.27,0,4.85,7950.97,212.35,0
regex-redux,358.56,271.08,0,4.82,7896.45,212.35,0
regex-redux,370.76,280.64,0,4.95,8132.83,212.35,0
regex-redux,358.48,271.05,0,4.82,7889.72,212.35,0
regex-redux,364.12,275.81,0,4.86,7971.59,212.35,0
