Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
reverse-complement,786.36,700.16,0,4.66,7778.27,241.87,0
reverse-complement,714.99,638.17,0,4.12,6933.86,241.87,0
reverse-complement,635.63,541.29,0,5.03,8515.57,241.87,0
reverse-complement,623.84,526.2,0,5.17,8816.13,241.87,0
reverse-complement,633.05,534.08,0,5.26,8934.79,241.87,0
reverse-complement,569.68,481.34,0,4.71,7971.81,241.87,0
reverse-complement,600.89,507.26,0,4.96,8452.7,241.87,0
reverse-complement,708.55,596.58,0,5.89,10105.61,241.87,0
reverse-complement,688.52,579.91,0,5.73,9804.11,241.87,0
reverse-complement,596.5,503.58,0,4.93,8390.21,241.87,0
reverse-complement,786.36,700.16,0,4.66,7778.27,241.87,0
reverse-complement,714.99,638.17,0,4.12,6933.86,241.87,0
reverse-complement,635.63,541.29,0,5.03,8515.57,241.87,0
reverse-complement,623.84,526.2,0,5.17,8816.13,241.87,0
reverse-complement,633.05,534.08,0,5.26,8934.79,241.87,0
reverse-complement,569.68,481.34,0,4.71,7971.81,241.87,0
reverse-complement,600.89,507.26,0,4.96,8452.7,241.87,0
reverse-complement,708.55,596.58,0,5.89,10105.61,241.87,0
reverse-complement,688.52,579.91,0,5.73,9804.11,241.87,0
reverse-complement,596.5,503.58,0,4.93,8390.21,241.87,0
reverse-complement,786.36,700.16,0,4.66,7778.27,241.87,0
reverse-complement,714.99,638.17,0,4.12,6933.86,241.87,0
reverse-complement,635.63,541.29,0,5.03,8515.57,241.87,0
reverse-complement,623.84,526.2,0,5.17,8816.13,241.87,0
reverse-complement,633.05,534.08,0,5.26,8934.79,241.87,0
reverse-complement,569.68,481.34,0,4.71,7971.81,241.87,0
reverse-complement,600.89,507.26,0,4.96,8452.7,241.87,0
reverse-complement,708.55,596.58,0,5.89,10105.61,241.87,0
reverse-complement,688.52,579.91,0,5.73,9804.11,241.87,0
reverse-complement,596.5,503.58,0,4.93,8390.21,241.87,0
reverse-complement,1385.28,1225.44,0,8.67,14424.08,241.87,0
reverse-complement,1115.94,934.0,0,9.82,16423.61,241.87,0
reverse-complement,1155.89,967.37,0,10.23,17014.89,241.87,0
reverse-complement,1117.71,935.61,0,9.89,16435.06,241.87,0
reverse-complement,1078.2,902.89,0,9.44,15822.02,241.87,0
reverse-complement,1144.73,958.03,0,10.04,16850.87,241.87,0
reverse-complement,1122.87,939.97,0,9.84,16510.33,241.87,0
reverse-complement,1124.51,941.34,0,9.84,16534.63,241.87,0
reverse-complement,1127.65,943.92,0,9.88,16584.16,241.87,0
reverse-complement,1174.52,982.79,0,10.38,17307.26,241.87,0
reverse-complement,1385.28,1225.44,0,8.67,14424.08,241.87,0
reverse-complement,1115.94,934.0,0,9.82,16423.61,241.87,0
reverse-complement,1155.89,967.37,0,10.23,17014.89,241.87,0
reverse-complement,1117.71,935.61,0,9.89,16435.06,241.87,0
reverse-complement,1078.2,902.89,0,9.44,15822.02,241.87,0
reverse-complement,1144.73,958.03,0,10.04,16850.87,241.87,0
reverse-complement,1122.87,939.97,0,9.84,16510.33,241.87,0
reverse-complement,1124.51,941.34,0,9.84,16534.63,241.87,0
reverse-complement,1127.65,943.92,0,9.88,16584.16,241.87,0
reverse-complement,1174.52,982.79,0,10.38,17307.26,241.87,0
