Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
k-nucleotide,153.27,130.61,0,1.44,2044.25,127.37,0
k-nucleotide,145.3,125.12,0,1.32,1824.55,127.37,0
k-nucleotide,143.51,121.97,0,1.38,1945.06,127.37,0
k-nucleotide,141.62,121.52,0,1.29,1818.51,127.37,0
k-nucleotide,142.32,122.55,0,1.27,1785.16,127.37,0
k-nucleotide,143.13,122.93,0,1.36,1827.7,127.37,0
k-nucleotide,145.19,123.79,0,1.35,1935.34,127.37,0
k-nucleotide,144.7,123.25,0,1.35,1938.37,127.37,0
k-nucleotide,144.16,124.3,0,1.3,1793.68,127.37,0
k-nucleotide,143.81,122.2,0,1.33,1952.07,127.37,0
k-nucleotide,153.27,130.61,0,1.44,2044.25,127.37,0
k-nucleotide,145.3,125.12,0,1.32,1824.55,127.37,0
k-nucleotide,143.51,121.97,0,1.38,1945.06,127.37,0
k-nucleotide,141.62,121.52,0,1.29,1818.51,127.37,0
k-nucleotide,142.32,122.55,0,1.27,1785.16,127.37,0
k-nucleotide,143.13,122.93,0,1.36,1827.7,127.37,0
k-nucleotide,145.19,123.79,0,1.35,1935.34,127.37,0
k-nucleotide,144.7,123.25,0,1.35,1938.37,127.37,0
k-nucleotide,144.16,124.3,0,1.3,1793.68,127.37,0
k-nucleotide,143.81,122.2,0,1.33,1952.07,127.37,0
k-nucleotide,153.27,130.61,0,1.44,2044.25,127.37,0
k-nucleotide,145.3,125.12,0,1.32,1824.55,127.37,0
k-nucleotide,143.51,121.97,0,1.38,1945.06,127.37,0
k-nucleotide,141.62,121.52,0,1.29,1818.51,127.37,0
k-nucleotide,142.32,122.55,0,1.27,1785.16,127.37,0
k-nucleotide,143.13,122.93,0,1.36,1827.7,127.37,0
k-nucleotide,145.19,123.79,0,1.35,1935.34,127.37,0
k-nucleotide,144.7,123.25,0,1.35,1938.37,127.37,0
k-nucleotide,144.16,124.3,0,1.3,1793.68,127.37,0
k-nucleotide,143.81,122.2,0,1.33,1952.07,127.37,0
k-nucleotide,153.27,130.61,0,1.44,2044.25,127.37,0
k-nucleotide,145.3,125.12,0,1.32,1824.55,127.37,0
k-nucleotide,143.51,121.97,0,1.38,1945.06,127.37,0
k-nucleotide,141.62,121.52,0,1.29,1818.51,127.37,0
k-nucleotide,142.32,122.55,0,1.27,1785.16,127.37,0
k-nucleotide,143.13,122.93,0,1.36,1827.7,127.37,0
k-nucleotide,145.19,123.79,0,1.35,1935.34,127.37,0
k-nucleotide,144.7,123.25,0,1.35,1938.37,127.37,0
k-nucleotide,144.16,124.3,0,1.3,1793.68,127.37,0
k-nucleotide,143.81,122.2,0,1.33,1952.07,127.37,0
k-nucleotide,153.27,130.61,0,1.44,2044.25,127.37,0
k-nucleotide,145.3,125.12,0,1.32,1824.55,127.37,0
k-nucleotide,143.51,121.97,0,1.38,1945.06,127.37,0
k-nucleotide,141.62,121.52,0,1.29,1818.51,127.37,0
k-nucleotide,142.32,122.55,0,1.27,1785.16,127.37,0
k-nucleotide,143.13,122.93,0,1.36,1827.7,127.37,0
k-nucleotide,145.19,123.79,0,1.35,1935.34,127.37,0
k-nucleotide,144.7,123.25,0,1.35,1938.37,127.37,0
k-nucleotide,144.16,124.3,0,1.3,1793.68,127.37,0
k-nucleotide,143.81,122.2,0,1.33,1952.07,127.37,0
