Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
mandelbrot,96.67,82.96,0,0.73,1240.61,32.0,0
mandelbrot,88.45,77.1,0,0.6,1028.9,32.0,0
mandelbrot,105.59,88.9,0,0.86,1507.05,32.0,0
mandelbrot,102.39,86.34,0,0.84,1450.09,32.0,0
mandelbrot,87.48,76.06,0,0.6,1030.57,32.0,0
mandelbrot,92.05,79.92,0,0.64,1098.71,32.0,0
mandelbrot,99.92,84.57,0,0.8,1388.52,32.0,0
mandelbrot,87.68,76.39,0,0.6,1019.07,32.0,0
mandelbrot,101.29,85.8,0,0.81,1397.3,32.0,0
mandelbrot,91.77,79.33,0,0.65,1125.48,32.0,0
mandelbrot,96.67,82.96,0,0.73,1240.61,32.0,0
mandelbrot,88.45,77.1,0,0.6,1028.9,32.0,0
mandelbrot,105.59,88.9,0,0.86,1507.05,32.0,0
mandelbrot,102.39,86.34,0,0.84,1450.09,32.0,0
mandelbrot,87.48,76.06,0,0.6,1030.57,32.0,0
mandelbrot,92.05,79.92,0,0.64,1098.71,32.0,0
mandelbrot,99.92,84.57,0,0.8,1388.52,32.0,0
mandelbrot,87.68,76.39,0,0.6,1019.07,32.0,0
mandelbrot,101.29,85.8,0,0.81,1397.3,32.0,0
mandelbrot,91.77,79.33,0,0.65,1125.48,32.0,0
mandelbrot,96.67,82.96,0,0.73,1240.61,32.0,0
mandelbrot,88.45,77.1,0,0.6,1028.9,32.0,0
mandelbrot,105.59,88.9,0,0.86,1507.05,32.0,0
mandelbrot,102.39,86.34,0,0.84,1450.09,32.0,0
mandelbrot,87.48,76.06,0,0.6,1030.57,32.0,0
mandelbrot,92.05,79.92,0,0.64,1098.71,32.0,0
mandelbrot,99.92,84.57,0,0.8,1388.52,32.0,0
mandelbrot,87.68,76.39,0,0.6,1019.07,32.0,0
mandelbrot,101.29,85.8,0,0.81,1397.3,32.0,0
mandelbrot,91.77,79.33,0,0.65,1125.48,32.0,0
mandelbrot,96.67,82.96,0,0.73,1240.61,32.0,0
mandelbrot,88.45,77.1,0,0.6,1028.9,32.0,0
mandelbrot,105.59,88.9,0,0.86,1507.05,32.0,0
mandelbrot,102.39,86.34,0,0.84,1450.09,32.0,0
mandelbrot,87.48,76.06,0,0.6,1030.57,32.0,0
mandelbrot,92.05,79.92,0,0.64,1098.71,32.0,0
mandelbrot,99.92,84.57,0,0.8,1388.52,32.0,0
mandelbrot,87.68,76.39,0,0.6,1019.07,32.0,0
mandelbrot,101.29,85.8,0,0.81,1397.3,32.0,0
mandelbrot,91.77,79.33,0,0.65,1125.48,32.0,0
mandelbrot,96.67,82.96,0,0.73,1240.61,32.0,0
mandelbrot,88.45,77.1,0,0.6,1028.9,32.0,0
mandelbrot,105.59,88.9,0,0.86,1507.05,32.0,0
mandelbrot,102.39,86.34,0,0.84,1450.09,32.0,0
mandelbrot,87.48,76.06,0,0.6,1030.57,32.0,0
mandelbrot,92.05,79.92,0,0.64,1098.71,32.0,0
mandelbrot,99.92,84.57,0,0.8,1388.52,32.0,0
mandelbrot,87.68,76.39,0,0.6,1019.07,32.0,0
mandelbrot,101.29,85.8,0,0.81,1397.3,32.0,0
mandelbrot,91.77,79.33,0,0.65,1125.48,32.0,0
