Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
reverse-complement,544.83,465.7,0,4.22,7141.62,244.12,0
reverse-complement,564.86,486.51,0,4.22,7074.29,244.12,0
reverse-complement,529.28,454.89,0,3.98,6714.82,244.12,0
reverse-complement,555.43,478.72,0,4.14,6925.2,244.12,0
reverse-complement,510.33,442.91,0,3.62,6083.66,244.12,0
reverse-complement,630.47,536.87,0,4.98,8447.1,244.12,0
reverse-complement,581.19,495.68,0,4.53,7722.13,244.12,0
reverse-complement,520.87,440.55,0,4.31,7247.84,244.12,0
reverse-complement,478.67,405.45,0,3.91,6607.07,244.12,0
reverse-complement,471.31,399.53,0,3.84,6478.04,244.12,0
reverse-complement,544.83,465.7,0,4.22,7141.62,244.12,0
reverse-complement,564.86,486.51,0,4.22,7074.29,244.12,0
reverse-complement,529.28,454.89,0,3.98,6714.82,244.12,0
reverse-complement,555.43,478.72,0,4.14,6925.2,244.12,0
reverse-complement,510.33,442.91,0,3.62,6083.66,244.12,0
reverse-complement,630.47,536.87,0,4.98,8447.1,244.12,0
reverse-complement,581.19,495.68,0,4.53,7722.13,244.12,0
reverse-complement,520.87,440.55,0,4.31,7247.84,244.12,0
reverse-complement,478.67,405.45,0,3.91,6607.07,244.12,0
reverse-complement,471.31,399.53,0,3.84,6478.04,244.12,0
reverse-complement,544.83,465.7,0,4.22,7141.62,244.12,0
reverse-complement,564.86,486.51,0,4.22,7074.29,244.12,0
reverse-complement,529.28,454.89,0,3.98,6714.82,244.12,0
reverse-complement,555.43,478.72,0,4.14,6925.2,244.12,0
reverse-complement,510.33,442.91,0,3.62,6083.66,244.12,0
reverse-complement,630.47,536.87,0,4.98,8447.1,244.12,0
reverse-complement,581.19,495.68,0,4.53,7722.13,244.12,0
reverse-complement,520.87,440.55,0,4.31,7247.84,244.12,0
reverse-complement,478.67,405.45,0,3.91,6607.07,244.12,0
reverse-complement,471.31,399.53,0,3.84,6478.04,244.12,0
reverse-complement,544.83,465.7,0,4.22,7141.62,244.12,0
reverse-complement,564.86,486.51,0,4.22,7074.29,244.12,0
reverse-complement,529.28,454.89,0,3.98,6714.82,244.12,0
reverse-complement,555.43,478.72,0,4.14,6925.2,244.12,0
reverse-complement,510.33,442.91,0,3.62,6083.66,244.12,0
reverse-complement,630.47,536.87,0,4.98,8447.1,244.12,0
reverse-complement,581.19,495.68,0,4.53,7722.13,244.12,0
reverse-complement,520.87,440.55,0,4.31,7247.84,244.12,0
reverse-complement,478.67,405.45,0,3.91,6607.07,244.12,0
reverse-complement,471.31,399.53,0,3.84,6478.04,244.12,0
reverse-complement,544.83,465.7,0,4.22,7141.62,244.12,0
reverse-complement,564.86,486.51,0,4.22,7074.29,244.12,0
reverse-complement,529.28,454.89,0,3.98,6714.82,244.12,0
reverse-complement,555.43,478.72,0,4.14,6925.2,244.12,0
reverse-complement,510.33,442.91,0,3.62,6083.66,244.12,0
reverse-complement,630.47,536.87,0,4.98,8447.1,244.12,0
reverse-complement,581.19,495.68,0,4.53,7722.13,244.12,0
reverse-complement,520.87,440.55,0,4.31,7247.84,244.12,0
reverse-complement,478.67,405.45,0,3.91,6607.07,244.12,0
reverse-complement,471.31,399.53,0,3.84,6478.04,244.12,0
