Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
division-loop,185.95,129.0,0,3.02,5144.1,0.0,0
division-loop,188.36,130.72,0,3.06,5204.72,0.0,0
division-loop,189.56,131.97,0,3.07,5202.64,0.0,0
division-loop,187.39,130.0,0,3.05,5181.76,0.0,0
division-loop,187.69,130.31,0,3.04,5182.0,0.0,0
division-loop,186.58,129.44,0,3.03,5157.09,0.0,0
division-loop,188.01,131.11,0,3.02,5137.59,0.0,0
division-loop,188.71,131.39,0,3.04,5173.29,0.0,0
division-loop,190.09,132.59,0,3.07,5194.55,0.0,0
division-loop,187.77,130.87,0,3.02,5140.34,0.0,0
division-loop,185.95,129.0,0,3.02,5144.1,0.0,0
division-loop,188.36,130.72,0,3.06,5204.72,0.0,0
division-loop,189.56,131.97,0,3.07,5202.64,0.0,0
division-loop,187.39,130.0,0,3.05,5181.76,0.0,0
division-loop,187.69,130.31,0,3.04,5182.0,0.0,0
division-loop,186.58,129.44,0,3.03,5157.09,0.0,0
division-loop,188.01,131.11,0,3.02,5137.59,0.0,0
division-loop,188.71,131.39,0,3.04,5173.29,0.0,0
division-loop,190.09,132.59,0,3.07,5194.55,0.0,0
division-loop,187.77,130.87,0,3.02,5140.34,0.0,0
division-loop,185.95,129.0,0,3.02,5144.1,0.0,0
division-loop,188.36,130.72,0,3.06,5204.72,0.0,0
division-loop,189.56,131.97,0,3.07,5202.64,0.0,0
division-loop,187.39,130.0,0,3.05,5181.76,0.0,0
division-loop,187.69,130.31,0,3.04,5182.0,0.0,0
division-loop,186.58,129.44,0,3.03,5157.09,0.0,0
division-loop,188.01,131.11,0,3.02,5137.59,0.0,0
division-loop,188.71,131.39,0,3.04,5173.29,0.0,0
division-loop,190.09,132.59,0,3.07,5194.55,0.0,0
division-loop,187.77,130.87,0,3.02,5140.34,0.0,0
division-loop,185.95,129.0,0,3.02,5144.1,0.0,0
division-loop,188.36,130.72,0,3.06,5204.72,0.0,0
division-loop,189.56,131.97,0,3.07,5202.64,0.0,0
division-loop,187.39,130.0,0,3.05,5181.76,0.0,0
division-loop,187.69,130.31,0,3.04,5182.0,0.0,0
division-loop,186.58,129.44,0,3.03,5157.09,0.0,0
division-loop,188.01,131.11,0,3.02,5137.59,0.0,0
division-loop,188.71,131.39,0,3.04,5173.29,0.0,0
division-loop,190.09,132.59,0,3.07,5194.55,0.0,0
division-loop,187.77,130.87,0,3.02,5140.34,0.0,0
division-loop,185.95,129.0,0,3.02,5144.1,0.0,0
division-loop,188.36,130.72,0,3.06,5204.72,0.0,0
division-loop,189.56,131.97,0,3.07,5202.64,0.0,0
division-loop,187.39,130.0,0,3.05,5181.76,0.0,0
division-loop,187.69,130.31,0,3.04,5182.0,0.0,0
division-loop,186.58,129.44,0,3.03,5157.09,0.0,0
division-loop,188.01,131.11,0,3.02,5137.59,0.0,0
division-loop,188.71,131.39,0,3.04,5173.29,0.0,0
division-loop,190.09,132.59,0,3.07,5194.55,0.0,0
division-loop,187.77,130.87,0,3.02,5140.34,0.0,0
