Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
matrix-multiplication,269.93,194.88,0,5.25,6762.01,0.0,0
matrix-multiplication,0.08,0.08,0,0.0,2.67,0.0,0
matrix-multiplication,0.12,0.08,0,0.0,2.78,0.0,0
matrix-multiplication,0.12,0.08,0,0.0,2.73,0.0,0
matrix-multiplication,0.13,0.09,0,0.0,2.75,0.0,0
matrix-multiplication,0.12,0.08,0,0.0,2.67,0.0,0
matrix-multiplication,0.12,0.08,0,0.0,2.7,0.0,0
matrix-multiplication,0.14,0.09,0,0.0,2.73,0.0,0
matrix-multiplication,0.13,0.07,0,0.0,2.36,0.0,0
matrix-multiplication,0.13,0.08,0,0.0,2.61,0.0,0
matrix-multiplication,269.93,194.88,0,5.25,6762.01,0.0,0
matrix-multiplication,0.08,0.08,0,0.0,2.67,0.0,0
matrix-multiplication,0.12,0.08,0,0.0,2.78,0.0,0
matrix-multiplication,0.12,0.08,0,0.0,2.73,0.0,0
matrix-multiplication,0.13,0.09,0,0.0,2.75,0.0,0
matrix-multiplication,0.12,0.08,0,0.0,2.67,0.0,0
matrix-multiplication,0.12,0.08,0,0.0,2.7,0.0,0
matrix-multiplication,0.14,0.09,0,0.0,2.73,0.0,0
matrix-multiplication,0.13,0.07,0,0.0,2.36,0.0,0
matrix-multiplication,0.13,0.08,0,0.0,2.61,0.0,0
matrix-multiplication,269.93,194.88,0,5.25,6762.01,0.0,0
matrix-multiplication,0.08,0.08,0,0.0,2.67,0.0,0
matrix-multiplication,0.12,0.08,0,0.0,2.78,0.0,0
matrix-multiplication,0.12,0.08,0,0.0,2.73,0.0,0
matrix-multiplication,0.13,0.09,0,0.0,2.75,0.0,0
matrix-multiplication,0.12,0.08,0,0.0,2.67,0.0,0
matrix-multiplication,0.12,0.08,0,0.0,2.7,0.0,0
matrix-multiplication,0.14,0.09,0,0.0,2.73,0.0,0
matrix-multiplication,0.13,0.07,0,0.0,2.36,0.0,0
matrix-multiplication,0.13,0.08,0,0.0,2.61,0.0,0
matrix-multiplication,269.93,194.88,0,5.25,6762.01,0.0,0
matrix-multiplication,0.08,0.08,0,0.0,2.67,0.0,0
matrix-multiplication,0.12,0.08,0,0.0,2.78,0.0,0
matrix-multiplication,0.12,0.08,0,0.0,2.73,0.0,0
matrix-multiplication,0.13,0.09,0,0.0,2.75,0.0,0
matrix-multiplication,0.12,0.08,0,0.0,2.67,0.0,0
matrix-multiplication,0.12,0.08,0,0.0,2.7,0.0,0
matrix-multiplication,0.14,0.09,0,0.0,2.73,0.0,0
matrix-multiplication,0.13,0.07,0,0.0,2.36,0.0,0
matrix-multiplication,0.13,0.08,0,0.0,2.61,0.0,0
matrix-multiplication,269.93,194.88,0,5.25,6762.01,0.0,0
matrix-multiplication,0.08,0.08,0,0.0,2.67,0.0,0
matrix-multiplication,0.12,0.08,0,0.0,2.78,0.0,0
matrix-multiplication,0.12,0.08,0,0.0,2.73,0.0,0
matrix-multiplication,0.13,0.09,0,0.0,2.75,0.0,0
matrix-multiplication,0.12,0.08,0,0.0,2.67,0.0,0
matrix-multiplication,0.12,0.08,0,0.0,2.7,0.0,0
matrix-multiplication,0.14,0.09,0,0.0,2.73,0.0,0
matrix-multiplication,0.13,0.07,0,0.0,2.36,0.0,0
matrix-multiplication,0.13,0.08,0,0.0,2.61,0.0,0
