Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
regex-redux,1365.01,1041.08,0,24.41,29143.2,150.45,0
regex-redux,36.09,26.38,0,0.66,873.86,150.45,0
regex-redux,36.13,26.47,0,0.66,871.33,150.45,0
regex-redux,35.95,26.34,0,0.65,868.81,150.45,0
regex-redux,36.3,26.63,0,0.65,870.71,150.45,0
regex-redux,35.79,26.12,0,0.65,869.6,150.45,0
regex-redux,35.9,26.24,0,0.66,871.33,150.45,0
regex-redux,36.46,26.69,0,0.66,881.32,150.45,0
regex-redux,36.61,26.93,0,0.66,874.77,150.45,0
regex-redux,36.3,26.67,0,0.65,864.11,150.45,0
regex-redux,1365.01,1041.08,0,24.41,29143.2,150.45,0
regex-redux,36.09,26.38,0,0.66,873.86,150.45,0
regex-redux,36.13,26.47,0,0.66,871.33,150.45,0
regex-redux,35.95,26.34,0,0.65,868.81,150.45,0
regex-redux,36.3,26.63,0,0.65,870.71,150.45,0
regex-redux,35.79,26.12,0,0.65,869.6,150.45,0
regex-redux,35.9,26.24,0,0.66,871.33,150.45,0
regex-redux,36.46,26.69,0,0.66,881.32,150.45,0
regex-redux,36.61,26.93,0,0.66,874.77,150.45,0
regex-redux,36.3,26.67,0,0.65,864.11,150.45,0
regex-redux,1365.01,1041.08,0,24.41,29143.2,150.45,0
regex-redux,36.09,26.38,0,0.66,873.86,150.45,0
regex-redux,36.13,26.47,0,0.66,871.33,150.45,0
regex-redux,35.95,26.34,0,0.65,868.81,150.45,0
regex-redux,36.3,26.63,0,0.65,870.71,150.45,0
regex-redux,35.79,26.12,0,0.65,869.6,150.45,0
regex-redux,35.9,26.24,0,0.66,871.33,150.45,0
regex-redux,36.46,26.69,0,0.66,881.32,150.45,0
regex-redux,36.61,26.93,0,0.66,874.77,150.45,0
regex-redux,36.3,26.67,0,0.65,864.11,150.45,0
regex-redux,1365.01,1041.08,0,24.41,29143.2,150.45,0
regex-redux,36.09,26.38,0,0.66,873.86,150.45,0
regex-redux,36.13,26.47,0,0.66,871.33,150.45,0
regex-redux,35.95,26.34,0,0.65,868.81,150.45,0
regex-redux,36.3,26.63,0,0.65,870.71,150.45,0
regex-redux,35.79,26.12,0,0.65,869.6,150.45,0
regex-redux,35.9,26.24,0,0.66,871.33,150.45,0
regex-redux,36.46,26.69,0,0.66,881.32,150.45,0
regex-redux,36.61,26.93,0,0.66,874.77,150.45,0
regex-redux,36.3,26.67,0,0.65,864.11,150.45,0
regex-redux,1365.01,1041.08,0,24.41,29143.2,150.45,0
regex-redux,36.09,26.38,0,0.66,873.86,150.45,0
regex-redux,36.13,26.47,0,0.66,871.33,150.45,0
regex-redux,35.95,26.34,0,0.65,868.81,150.45,0
regex-redux,36.3,26.63,0,0.65,870.71,150.45,0
regex-redux,35.79,26.12,0,0.65,869.6,150.45,0
regex-redux,35.9,26.24,0,0.66,871.33,150.45,0
regex-redux,36.46,26.69,0,0.66,881.32,150.45,0
regex-redux,36.61,26.93,0,0.66,874.77,150.45,0
regex-redux,36.3,26.67,0,0.65,864.11,150.45,0
