Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
spectral-norm,500.73,367.66,0,9.16,11994.74,2.37,0
spectral-norm,27.72,24.87,0,0.15,261.41,2.37,0
spectral-norm,27.45,24.49,0,0.15,265.51,2.37,0
spectral-norm,29.49,26.64,0,0.14,255.59,2.37,0
spectral-norm,29.58,26.75,0,0.14,254.46,2.37,0
spectral-norm,29.37,26.53,0,0.14,255.55,2.37,0
spectral-norm,27.91,25.03,0,0.15,261.16,2.37,0
spectral-norm,28.3,25.45,0,0.15,261.47,2.37,0
spectral-norm,28.28,25.36,0,0.15,260.12,2.37,0
spectral-norm,29.12,26.33,0,0.14,256.42,2.37,0
spectral-norm,500.73,367.66,0,9.16,11994.74,2.37,0
spectral-norm,27.72,24.87,0,0.15,261.41,2.37,0
spectral-norm,27.45,24.49,0,0.15,265.51,2.37,0
spectral-norm,29.49,26.64,0,0.14,255.59,2.37,0
spectral-norm,29.58,26.75,0,0.14,254.46,2.37,0
spectral-norm,29.37,26.53,0,0.14,255.55,2.37,0
spectral-norm,27.91,25.03,0,0.15,261.16,2.37,0
spectral-norm,28.3,25.45,0,0.15,261.47,2.37,0
spectral-norm,28.28,25.36,0,0.15,260.12,2.37,0
spectral-norm,29.12,26.33,0,0.14,256.42,2.37,0
spectral-norm,500.73,367.66,0,9.16,11994.74,2.37,0
spectral-norm,27.72,24.87,0,0.15,261.41,2.37,0
spectral-norm,27.45,24.49,0,0.15,265.51,2.37,0
spectral-norm,29.49,26.64,0,0.14,255.59,2.37,0
spectral-norm,29.58,26.75,0,0.14,254.46,2.37,0
spectral-norm,29.37,26.53,0,0.14,255.55,2.37,0
spectral-norm,27.91,25.03,0,0.15,261.16,2.37,0
spectral-norm,28.3,25.45,0,0.15,261.47,2.37,0
spectral-norm,28.28,25.36,0,0.15,260.12,2.37,0
spectral-norm,29.12,26.33,0,0.14,256.42,2.37,0
spectral-norm,500.73,367.66,0,9.16,11994.74,2.37,0
spectral-norm,27.72,24.87,0,0.15,261.41,2.37,0
spectral-norm,27.45,24.49,0,0.15,265.51,2.37,0
spectral-norm,29.49,26.64,0,0.14,255.59,2.37,0
spectral-norm,29.58,26.75,0,0.14,254.46,2.37,0
spectral-norm,29.37,26.53,0,0.14,255.55,2.37,0
spectral-norm,27.91,25.03,0,0.15,261.16,2.37,0
spectral-norm,28.3,25.45,0,0.15,261.47,2.37,0
spectral-norm,28.28,25.36,0,0.15,260.12,2.37,0
spectral-norm,29.12,26.33,0,0.14,256.42,2.37,0
spectral-norm,500.73,367.66,0,9.16,11994.74,2.37,0
spectral-norm,27.72,24.87,0,0.15,261.41,2.37,0
spectral-norm,27.45,24.49,0,0.15,265.51,2.37,0
spectral-norm,29.49,26.64,0,0.14,255.59,2.37,0
spectral-norm,29.58,26.75,0,0.14,254.46,2.37,0
spectral-norm,29.37,26.53,0,0.14,255.55,2.37,0
spectral-norm,27.91,25.03,0,0.15,261.16,2.37,0
spectral-norm,28.3,25.45,0,0.15,261.47,2.37,0
spectral-norm,28.28,25.36,0,0.15,260.12,2.37,0
spectral-norm,29.12,26.33,0,0.14,256.42,2.37,0
