Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
binary-trees,54.07,0,0,1.02,715.98,131.25,0
binary-trees,53.41,0,0,0.99,662.99,131.25,0
binary-trees,54.08,0,0,1.01,695.37,131.25,0
binary-trees,53.81,0,0,1.0,679.95,131.25,0
binary-trees,53.32,0,0,1.0,667.46,131.25,0
binary-trees,53.28,0,0,0.99,660.66,131.25,0
binary-trees,54.1,0,0,1.0,686.28,131.25,0
binary-trees,53.53,0,0,1.01,674.85,131.25,0
binary-trees,53.61,0,0,1.01,684.56,131.25,0
binary-trees,53.89,0,0,1.01,692.5,131.25,0
