Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
k-nucleotide,144.19,0,0,1.36,1910.82,127.37,0
k-nucleotide,146.65,0,0,1.54,1900.14,127.37,0
k-nucleotide,144.15,0,0,1.35,1956.71,127.37,0
k-nucleotide,144.53,0,0,1.36,1954.76,127.37,0
k-nucleotide,144.2,0,0,1.35,1915.18,127.37,0
k-nucleotide,143.89,0,0,1.35,1944.0,127.37,0
k-nucleotide,144.57,0,0,1.35,1858.91,127.37,0
k-nucleotide,146.07,0,0,1.42,1988.68,127.37,0
k-nucleotide,143.93,0,0,1.3,1911.2,127.37,0
k-nucleotide,143.36,0,0,1.29,1800.88,127.37,0
