Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
binary-trees,186.83,0,0,5.96,2152.66,2433.12,0
binary-trees,188.1,0,0,5.95,2129.16,2433.12,0
binary-trees,185.78,0,0,5.9,2125.97,2433.12,0
binary-trees,185.04,0,0,5.87,2133.06,2433.12,0
binary-trees,182.83,0,0,5.93,2131.48,2433.12,0
binary-trees,183.09,0,0,5.9,2110.06,2433.12,0
binary-trees,184.55,0,0,5.93,2128.34,2433.12,0
binary-trees,187.16,0,0,5.93,2137.04,2433.12,0
binary-trees,186.14,0,0,5.92,2140.82,2433.12,0
binary-trees,185.12,0,0,5.9,2101.13,2433.12,0
