Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
k-nucleotide,43.46,0,0,0.64,569.48,371.89,0
k-nucleotide,250.2,0,0,3.26,2895.78,371.89,0
k-nucleotide,244.67,0,0,3.27,2852.9,371.89,0
k-nucleotide,250.19,0,0,3.33,2856.37,371.89,0
k-nucleotide,248.6,0,0,3.17,2838.51,371.89,0
k-nucleotide,250.63,0,0,3.31,2901.74,371.89,0
k-nucleotide,248.05,0,0,3.29,2850.72,371.89,0
k-nucleotide,244.91,0,0,3.09,2839.71,371.89,0
k-nucleotide,247.46,0,0,3.24,2796.14,371.89,0
k-nucleotide,247.18,0,0,3.26,2867.1,371.89,0
k-nucleotide,243.95,0,0,3.18,2798.4,371.89,0
