Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
division-loop,75.44,37.41,0.0,1.95,3434,0.0,0
division-loop,66.09,28.09,0.0,1.91,3434,0.0,0
division-loop,65.91,27.9,0.0,1.91,3434,0.0,0
division-loop,65.93,27.92,0.0,1.91,3434,0.0,0
division-loop,65.87,27.86,0.0,1.91,3434,0.0,0
division-loop,66.11,28.1,0.0,1.91,3434,0.0,0
division-loop,65.99,27.98,0.0,1.91,3434,0.0,0
division-loop,65.86,27.85,0.0,1.91,3434,0.0,0
division-loop,66.32,28.28,0.0,1.92,3437,0.0,0
division-loop,65.98,27.99,0.0,1.91,3434,0.0,0
division-loop,66.3,28.3,0.0,1.91,3434,0.0,0
division-loop,66.11,28.1,0.0,1.91,3434,0.0,0
division-loop,66.0,27.99,0.0,1.91,3434,0.0,0
division-loop,66.23,28.23,0.0,1.91,3434,0.0,0
division-loop,66.04,28.04,0.0,1.91,3434,0.0,0
division-loop,66.05,28.04,0.0,1.91,3434,0.0,0
division-loop,66.07,28.08,0.0,1.91,3434,0.0,0
division-loop,66.22,28.21,0.0,1.92,3435,0.0,0
division-loop,65.85,27.86,0.0,1.91,3434,0.0,0
division-loop,65.95,27.94,0.0,1.91,3434,0.0,0
division-loop,65.98,27.97,0.0,1.91,3434,0.0,0
division-loop,66.04,28.05,0.0,1.91,3434,0.0,0
division-loop,65.77,27.78,0.0,1.91,3433,0.0,0
division-loop,66.14,28.14,0.0,1.91,3434,0.0,0
division-loop,65.91,27.9,0.0,1.91,3434,0.0,0
division-loop,66.17,28.16,0.0,1.92,3435,0.0,0
division-loop,65.9,27.89,0.0,1.91,3434,0.0,0
division-loop,66.06,28.05,0.0,1.91,3434,0.0,0
division-loop,65.81,27.8,0.0,1.91,3434,0.0,0
division-loop,66.03,28.04,0.0,1.91,3434,0.0,0
division-loop,65.96,27.95,0.0,1.91,3434,0.0,0
