Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
fannkuch-redux,202.36,161.54,0.0,2.05,3688,1.87,0
fannkuch-redux,201.93,161.23,0.0,2.05,3677,1.87,0
fannkuch-redux,201.93,161.17,0.0,2.05,3680,1.87,0
fannkuch-redux,201.82,160.97,0.0,2.05,3690,1.87,0
fannkuch-redux,202.16,161.48,0.0,2.04,3676,1.87,0
fannkuch-redux,202.08,161.18,0.0,2.06,3693,1.87,0
fannkuch-redux,202.05,161.28,0.0,2.05,3683,1.87,0
fannkuch-redux,202.46,161.58,0.0,2.05,3694,1.87,0
fannkuch-redux,201.41,160.61,0.0,2.05,3686,1.87,0
fannkuch-redux,201.41,160.76,0.0,2.04,3672,1.87,0
fannkuch-redux,201.02,160.27,0.0,2.05,3681,1.87,0
fannkuch-redux,201.32,160.57,0.0,2.05,3680,1.87,0
fannkuch-redux,201.21,160.35,0.0,2.05,3690,1.87,0
fannkuch-redux,202.0,161.22,0.0,2.05,3681,1.87,0
fannkuch-redux,200.15,159.43,0.0,2.05,3677,1.87,0
fannkuch-redux,200.88,160.07,0.0,2.05,3686,1.87,0
fannkuch-redux,201.59,160.79,0.0,2.05,3685,1.87,0
fannkuch-redux,202.67,161.77,0.0,2.05,3693,1.87,0
fannkuch-redux,201.57,160.85,0.0,2.05,3679,1.87,0
fannkuch-redux,201.86,161.03,0.0,2.05,3688,1.87,0
fannkuch-redux,201.24,160.57,0.0,2.04,3673,1.87,0
fannkuch-redux,201.51,160.71,0.0,2.05,3684,1.87,0
fannkuch-redux,202.0,161.33,0.0,2.04,3672,1.87,0
fannkuch-redux,202.49,161.71,0.0,2.05,3684,1.87,0
fannkuch-redux,201.59,160.75,0.0,2.05,3690,1.87,0
fannkuch-redux,201.17,160.56,0.0,2.04,3666,1.87,0
fannkuch-redux,202.73,161.84,0.0,2.05,3692,1.87,0
fannkuch-redux,202.37,161.46,0.0,2.06,3694,1.87,0
fannkuch-redux,201.65,160.77,0.0,2.05,3691,1.87,0
fannkuch-redux,201.27,160.4,0.0,2.05,3693,1.87,0
fannkuch-redux,202.53,161.7,0.0,2.05,3688,1.87,0
