Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
fannkuch-redux,429.55,343.55,0.0,4.39,7768,1.87,0
fannkuch-redux,405.73,322.58,0.0,4.18,7512,1.87,0
fannkuch-redux,420.72,334.61,0.0,4.33,7779,1.87,0
fannkuch-redux,424.76,337.93,0.0,4.38,7844,1.87,0
fannkuch-redux,423.14,336.81,0.0,4.34,7798,1.87,0
fannkuch-redux,411.17,327.69,0.0,4.2,7541,1.87,0
fannkuch-redux,413.95,327.61,0.0,4.34,7799,1.87,0
fannkuch-redux,427.46,344.27,0.0,4.19,7515,1.87,0
fannkuch-redux,426.38,343.67,0.0,4.16,7470,1.87,0
fannkuch-redux,404.89,322.13,0.0,4.16,7476,1.87,0
fannkuch-redux,419.1,332.55,0.0,4.35,7817,1.87,0
fannkuch-redux,408.67,325.31,0.0,4.2,7529,1.87,0
fannkuch-redux,406.2,322.57,0.0,4.2,7554,1.87,0
fannkuch-redux,419.21,333.05,0.0,4.33,7784,1.87,0
fannkuch-redux,419.05,332.45,0.0,4.35,7820,1.87,0
fannkuch-redux,422.35,336.1,0.0,4.34,7793,1.87,0
fannkuch-redux,410.85,327.5,0.0,4.19,7528,1.87,0
fannkuch-redux,412.64,328.78,0.0,4.22,7574,1.87,0
fannkuch-redux,404.26,321.42,0.0,4.17,7482,1.87,0
fannkuch-redux,426.54,340.0,0.0,4.36,7817,1.87,0
fannkuch-redux,422.97,336.51,0.0,4.35,7809,1.87,0
fannkuch-redux,406.31,323.3,0.0,4.17,7498,1.87,0
fannkuch-redux,405.64,322.36,0.0,4.19,7523,1.87,0
fannkuch-redux,417.12,330.55,0.0,4.36,7819,1.87,0
fannkuch-redux,427.51,344.45,0.0,4.18,7503,1.87,0
fannkuch-redux,420.15,334.15,0.0,4.32,7769,1.87,0
fannkuch-redux,419.5,333.01,0.0,4.35,7813,1.87,0
fannkuch-redux,406.3,323.17,0.0,4.19,7511,1.87,0
fannkuch-redux,412.04,328.96,0.0,4.18,7505,1.87,0
fannkuch-redux,404.91,321.39,0.0,4.2,7544,1.87,0
fannkuch-redux,413.89,330.47,0.0,4.19,7535,1.87,0
