Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
fasta,331.46,235.5,0.0,4.83,8669,12.23,0
fasta,336.15,240.31,0.0,4.82,8661,12.23,0
fasta,381.6,266.79,0.0,5.77,10372,12.23,0
fasta,330.57,236.5,0.0,4.73,8496,12.23,0
fasta,357.28,252.51,0.0,5.27,9467,12.23,0
fasta,345.34,244.71,0.0,5.06,9089,12.23,0
fasta,388.78,273.43,0.0,5.8,10423,12.23,0
fasta,385.88,267.27,0.0,5.96,10715,12.23,0
fasta,329.82,233.15,0.0,4.86,8734,12.23,0
fasta,311.61,225.0,0.0,4.35,7823,12.23,0
fasta,310.93,222.74,0.0,4.43,7970,12.23,0
fasta,314.1,226.8,0.0,4.39,7885,12.23,0
fasta,330.08,233.65,0.0,4.85,8713,12.23,0
fasta,335.27,239.34,0.0,4.82,8665,12.23,0
fasta,325.89,233.82,0.0,4.63,8319,12.23,0
fasta,298.01,215.42,0.0,4.15,7459,12.23,0
fasta,302.11,219.98,0.0,4.13,7420,12.23,0
fasta,327.62,235.84,0.0,4.61,8290,12.23,0
fasta,363.18,255.66,0.0,5.4,9715,12.23,0
fasta,380.57,264.03,0.0,5.86,10531,12.23,0
fasta,333.25,237.96,0.0,4.79,8610,12.23,0
fasta,373.25,263.07,0.0,5.54,9953,12.23,0
fasta,377.45,263.15,0.0,5.74,10327,12.23,0
fasta,388.92,272.7,0.0,5.84,10501,12.23,0
fasta,358.33,251.93,0.0,5.35,9612,12.23,0
fasta,384.72,268.13,0.0,5.86,10533,12.23,0
fasta,367.0,258.08,0.0,5.47,9840,12.23,0
fasta,330.3,234.18,0.0,4.83,8682,12.23,0
fasta,343.24,241.0,0.0,5.14,9235,12.23,0
fasta,336.29,240.85,0.0,4.8,8621,12.23,0
fasta,393.42,272.69,0.0,6.07,10904,12.23,0
