Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
spectral-norm,11.68,9.22,0.0,0.13,224,2.37,0
spectral-norm,11.74,9.25,0.0,0.13,225,2.37,0
spectral-norm,11.7,9.25,0.0,0.12,225,2.37,0
spectral-norm,11.73,9.24,0.0,0.13,224,2.37,0
spectral-norm,11.72,9.26,0.0,0.12,224,2.37,0
spectral-norm,11.74,9.26,0.0,0.13,225,2.37,0
spectral-norm,11.72,9.26,0.0,0.12,224,2.37,0
spectral-norm,11.75,9.25,0.0,0.13,225,2.37,0
spectral-norm,11.73,9.27,0.0,0.12,224,2.37,0
spectral-norm,11.74,9.25,0.0,0.13,225,2.37,0
spectral-norm,11.73,9.27,0.0,0.12,224,2.37,0
spectral-norm,11.77,9.28,0.0,0.13,225,2.37,0
spectral-norm,11.72,9.26,0.0,0.12,224,2.37,0
spectral-norm,11.79,9.3,0.0,0.13,225,2.37,0
spectral-norm,11.75,9.3,0.0,0.12,224,2.37,0
spectral-norm,11.78,9.29,0.0,0.13,225,2.37,0
spectral-norm,11.74,9.28,0.0,0.12,224,2.37,0
spectral-norm,11.75,9.26,0.0,0.13,225,2.37,0
spectral-norm,11.72,9.26,0.0,0.12,224,2.37,0
spectral-norm,11.76,9.27,0.0,0.13,225,2.37,0
spectral-norm,11.73,9.28,0.0,0.12,224,2.37,0
spectral-norm,11.74,9.27,0.0,0.13,225,2.37,0
spectral-norm,11.76,9.27,0.0,0.13,225,2.37,0
spectral-norm,11.75,9.29,0.0,0.12,224,2.37,0
spectral-norm,11.78,9.29,0.0,0.13,225,2.37,0
spectral-norm,11.71,9.26,0.0,0.12,224,2.37,0
spectral-norm,11.75,9.28,0.0,0.13,225,2.37,0
spectral-norm,11.77,9.27,0.0,0.13,225,2.37,0
spectral-norm,11.7,9.24,0.0,0.12,224,2.37,0
spectral-norm,11.75,9.26,0.0,0.13,225,2.37,0
spectral-norm,11.71,9.26,0.0,0.12,224,2.37,0
