Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
binary-trees,86.17,64.98,0.0,5.57,1759,131.25,0
binary-trees,83.16,62.31,0.0,5.51,1731,131.25,0
binary-trees,85.9,64.7,0.0,5.54,1762,131.25,0
binary-trees,83.04,62.26,0.0,5.49,1726,131.25,0
binary-trees,83.65,63.09,0.0,5.45,1706,131.25,0
binary-trees,83.51,62.57,0.0,5.52,1739,131.25,0
binary-trees,82.85,62.14,0.0,5.53,1717,131.25,0
binary-trees,84.49,63.54,0.0,5.5,1740,131.25,0
binary-trees,82.68,62.05,0.0,5.46,1711,131.25,0
binary-trees,82.07,61.49,0.0,5.45,1710,131.25,0
binary-trees,82.34,61.9,0.0,5.49,1694,131.25,0
binary-trees,82.0,61.62,0.0,5.44,1691,131.25,0
binary-trees,82.14,61.47,0.0,5.46,1716,131.25,0
binary-trees,82.17,61.58,0.0,5.5,1709,131.25,0
binary-trees,83.72,62.63,0.0,5.51,1752,131.25,0
binary-trees,82.51,61.83,0.0,5.51,1714,131.25,0
binary-trees,83.78,62.62,0.0,5.55,1756,131.25,0
binary-trees,83.48,62.52,0.0,5.5,1741,131.25,0
binary-trees,81.26,60.84,0.0,5.45,1695,131.25,0
binary-trees,83.19,62.26,0.0,5.5,1739,131.25,0
binary-trees,83.07,62.23,0.0,5.49,1730,131.25,0
binary-trees,81.54,61.11,0.0,5.46,1696,131.25,0
binary-trees,82.1,61.73,0.0,5.43,1691,131.25,0
binary-trees,83.85,62.74,0.0,5.52,1756,131.25,0
binary-trees,82.19,61.8,0.0,5.47,1691,131.25,0
binary-trees,85.27,64.03,0.0,5.54,1765,131.25,0
binary-trees,84.21,63.16,0.0,5.54,1750,131.25,0
binary-trees,83.03,62.36,0.0,5.45,1717,131.25,0
binary-trees,83.95,63.05,0.0,5.53,1736,131.25,0
binary-trees,82.16,61.58,0.0,5.47,1709,131.25,0
binary-trees,81.99,61.8,0.0,5.42,1671,131.25,0
