Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
fannkuch-redux,338.8,306.08,0.0,1.65,2957,3.62,0
fannkuch-redux,330.8,297.89,0.0,1.65,2967,3.62,0
fannkuch-redux,329.74,296.94,0.0,1.65,2967,3.62,0
fannkuch-redux,250.43,213.26,0.0,1.87,3355,3.62,0
fannkuch-redux,225.66,187.06,0.0,1.94,3485,3.62,0
fannkuch-redux,225.24,186.78,0.0,1.93,3473,3.62,0
fannkuch-redux,225.38,186.9,0.0,1.93,3477,3.62,0
fannkuch-redux,226.04,187.49,0.0,1.94,3480,3.62,0
fannkuch-redux,225.94,187.38,0.0,1.94,3483,3.62,0
fannkuch-redux,226.06,187.48,0.0,1.94,3483,3.62,0
