Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
n-body,87.9,62.54,0.0,1.27,2288,1.87,0
n-body,88.56,63.26,0.0,1.27,2288,1.87,0
n-body,87.93,62.58,0.0,1.27,2290,1.87,0
n-body,88.55,63.2,0.0,1.27,2290,1.87,0
n-body,88.88,63.58,0.0,1.27,2286,1.87,0
n-body,87.94,62.63,0.0,1.27,2286,1.87,0
n-body,87.18,62.05,0.0,1.26,2269,1.87,0
n-body,87.48,62.21,0.0,1.27,2284,1.87,0
n-body,86.83,61.69,0.0,1.26,2269,1.87,0
n-body,86.02,61.12,0.0,1.25,2252,1.87,0
