Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
binary-trees,55.55,48.66,0.0,1.14,597,403.99,0
binary-trees,53.8,47.05,0.0,1.1,590,403.99,0
binary-trees,54.95,48.05,0.0,1.16,598,403.99,0
binary-trees,52.39,45.93,0.0,1.13,560,403.99,0
binary-trees,52.52,45.98,0.0,1.12,568,403.99,0
binary-trees,56.54,49.68,0.0,1.18,594,403.99,0
binary-trees,58.26,51.15,0.0,1.13,618,403.99,0
binary-trees,52.88,46.44,0.0,1.09,563,403.99,0
binary-trees,59.25,51.92,0.0,1.13,637,403.99,0
binary-trees,52.75,46.27,0.0,1.09,563,403.99,0
