Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
regex-redux,367.22,278.33,0.0,4.9,8026,212.35,0
regex-redux,369.39,280.32,0.0,4.9,8040,212.35,0
regex-redux,358.76,271.66,0.0,4.8,7862,212.35,0
regex-redux,367.17,278.16,0.0,4.9,8035,212.35,0
regex-redux,367.52,278.61,0.0,4.89,8025,212.35,0
regex-redux,367.94,278.96,0.0,4.9,8031,212.35,0
regex-redux,363.34,274.97,0.0,4.87,7980,212.35,0
regex-redux,367.11,278.23,0.0,4.89,8023,212.35,0
regex-redux,365.6,277.14,0.0,4.87,7985,212.35,0
regex-redux,368.23,279.31,0.0,4.89,8027,212.35,0
