Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
binary-trees,161.26,140.11,0.0,5.59,1753,2433.12,0
binary-trees,114.22,93.03,0.0,5.57,1761,2433.12,0
binary-trees,115.53,94.1,0.0,5.55,1780,2433.12,0
binary-trees,113.55,92.45,0.0,5.51,1753,2433.12,0
binary-trees,120.72,98.3,0.0,5.81,1865,2433.12,0
binary-trees,115.19,93.88,0.0,5.56,1771,2433.12,0
binary-trees,113.29,92.24,0.0,5.54,1748,2433.12,0
binary-trees,112.08,91.3,0.0,5.5,1723,2433.12,0
binary-trees,112.57,91.62,0.0,5.56,1737,2433.12,0
binary-trees,113.72,92.57,0.0,5.57,1756,2433.12,0
