Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
fannkuch-redux,358.61,306.65,0.0,2.63,4692,44.35,0
fannkuch-redux,312.16,258.81,0.0,2.7,4820,44.35,0
fannkuch-redux,318.32,263.81,0.0,2.76,4925,44.35,0
fannkuch-redux,317.67,263.69,0.0,2.73,4874,44.35,0
fannkuch-redux,318.39,264.03,0.0,2.75,4910,44.35,0
fannkuch-redux,317.26,263.09,0.0,2.74,4893,44.35,0
fannkuch-redux,313.62,260.16,0.0,2.7,4826,44.35,0
fannkuch-redux,313.15,259.58,0.0,2.71,4839,44.35,0
fannkuch-redux,318.97,264.77,0.0,2.74,4893,44.35,0
fannkuch-redux,318.42,263.95,0.0,2.75,4920,44.35,0
