Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
fasta,271.46,172.11,0.0,5.18,8974,50.98,0
fasta,293.54,197.31,0.0,5.02,8692,50.98,0
fasta,290.35,195.63,0.0,4.94,8553,50.98,0
fasta,324.97,228.46,0.0,5.03,8717,50.98,0
fasta,294.69,197.85,0.0,5.05,8745,50.98,0
fasta,257.93,158.22,0.0,5.2,9006,50.98,0
fasta,285.83,185.97,0.0,5.2,9019,50.98,0
fasta,260.82,165.24,0.0,4.99,8633,50.98,0
fasta,272.07,170.6,0.0,5.28,9165,50.98,0
fasta,267.08,168.85,0.0,5.12,8873,50.98,0
