Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
k-nucleotide,168.33,139.08,0.0,3.28,2619,133.49,0
k-nucleotide,173.35,143.64,0.0,3.53,2649,133.49,0
k-nucleotide,162.37,134.92,0.0,2.73,2465,133.49,0
k-nucleotide,161.55,134.56,0.0,2.61,2425,133.49,0
k-nucleotide,159.81,134.41,0.0,2.43,2284,133.49,0
k-nucleotide,162.19,135.9,0.0,2.73,2358,133.49,0
k-nucleotide,162.87,135.39,0.0,2.69,2468,133.49,0
k-nucleotide,161.09,135.33,0.0,2.59,2313,133.49,0
k-nucleotide,163.79,136.04,0.0,2.82,2493,133.49,0
k-nucleotide,166.11,139.02,0.0,2.94,2425,133.49,0
