Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
mandelbrot,75.38,54.33,0.0,1.09,1900,33.75,0
mandelbrot,71.69,50.73,0.0,1.09,1893,33.75,0
mandelbrot,75.0,55.11,0.0,1.03,1797,33.75,0
mandelbrot,72.54,52.16,0.0,1.06,1842,33.75,0
mandelbrot,74.02,54.62,0.0,1.01,1752,33.75,0
mandelbrot,74.23,54.13,0.0,1.04,1816,33.75,0
mandelbrot,73.83,54.19,0.0,1.02,1774,33.75,0
mandelbrot,73.11,53.77,0.0,1.0,1747,33.75,0
mandelbrot,74.19,53.78,0.0,1.06,1845,33.75,0
mandelbrot,75.68,57.39,0.0,0.95,1653,33.75,0
