Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
regex-redux,37.01,27.16,0.0,0.67,887,150.45,0
regex-redux,36.83,27.11,0.0,0.66,876,150.45,0
regex-redux,36.8,27.1,0.0,0.66,877,150.45,0
regex-redux,37.8,28.11,0.0,0.66,873,150.45,0
regex-redux,36.88,27.16,0.0,0.66,878,150.45,0
regex-redux,36.87,27.14,0.0,0.66,876,150.45,0
regex-redux,36.66,26.96,0.0,0.66,877,150.45,0
regex-redux,36.79,27.05,0.0,0.66,877,150.45,0
regex-redux,37.59,27.86,0.0,0.66,873,150.45,0
regex-redux,36.88,27.16,0.0,0.66,877,150.45,0
