Language,Energy (J),Time (ms),Ratio (J/ms)
C#,-8585.19,30842.28,-0.28
C#,-8585.19,30842.28,-0.28
C#,-8585.19,30842.28,-0.28
C#,-8585.19,30842.28,-0.28
C#,-8585.19,30842.28,-0.28
C#,-8585.19,30842.28,-0.28
C#,455.12,30914.21,0.01
C,53.09,3689.83,0.01
C++,-8440.31,45467.24,-0.19
C#,455.12,30914.21,0.01
Java,250.72,17580.52,0.01
C,53.09,3689.83,0.01
C++,-8440.31,45467.24,-0.19
C#,455.12,30914.21,0.01
Java,250.72,17580.52,0.01
C,53.09,3689.83,0.01
C++,-8440.31,45467.24,-0.19
C#,455.12,30914.21,0.01
Java,250.72,17580.52,0.01
C,53.09,3689.83,0.01
C++,-8440.31,45467.24,-0.19
C#,455.12,30914.21,0.01
Java,250.72,17580.52,0.01
C,53.09,3689.83,0.01
C++,-8440.31,45467.24,-0.19
C#,455.12,30914.21,0.01
Java,250.72,17580.52,0.01
C,53.09,3689.83,0.01
C++,-8440.31,45467.24,-0.19
C#,455.12,30914.21,0.01
Java,250.72,17580.52,0.01
