TimeStart,TimeEnd,PP0Start,PP0End,PP1Start,PP1End,PkgStart,PkgEnd,DramStart,DramEnd
1732478359100,1732478359580,1943571842,1944415450,0,0,2600368158,2601298267,39810312,39814771
1732478360368,1732478360849,1945190111,1946049634,0,0,2602216657,2603162935,39823499,39828047
1732478361652,1732478362135,1946839050,1947703357,0,0,2604098922,2605050333,39836786,39841495
1732478362967,1732478363449,1948497832,1949358416,0,0,2605996731,2606943885,39850511,39855209
1732478364319,1732478364811,1950192967,1951060733,0,0,2607937294,2608894152,39864646,39870016
1732478365613,1732478366093,1951845749,1952709585,0,0,2609824593,2610776502,39878899,39883606
1732478366991,1732478367471,1953525166,1954389031,0,0,2611755151,2612706150,39893359,39898054
1732478368285,1732478368765,1955179924,1956042023,0,0,2613645135,2614592655,39907048,39911736
1732478369582,1732478370063,1956843799,1957706943,0,0,2615544130,2616495113,39920759,39925464
1732478370886,1732478371371,1958537354,1959400445,0,0,2617474476,2618426144,39936281,39942039
1732478372218,1732478372704,1960253175,1961115379,0,0,2619432041,2620383724,39953308,39958797
1732478373524,1732478374004,1961893161,1962755549,0,0,2621309688,2622259499,39967840,39972542
1732478374819,1732478375298,1963541394,1964404181,0,0,2623193089,2624142797,39981502,39986188
1732478376141,1732478376621,1965201631,1966063598,0,0,2625095190,2626042454,39995484,40000170
1732478377428,1732478377911,1966862084,1967728860,0,0,2626988683,2627942700,40009093,40013977
1732478378685,1732478379170,1968560670,1969426613,0,0,2628915177,2629869594,40024413,40030180
1732478379995,1732478380483,1970264386,1971132545,0,0,2630858636,2631814806,40040538,40045295
1732478381255,1732478381734,1971896758,1972760136,0,0,2632718847,2633669826,40053890,40058591
1732478382564,1732478383044,1973565259,1974429031,0,0,2634626338,2635577058,40067762,40072464
1732478383887,1732478384368,1975231382,1976092308,0,0,2636531914,2637480485,40081680,40086396
1732478385236,1732478385720,1976924979,1977787513,0,0,2638470590,2639421272,40096458,40102191
1732478386485,1732478386973,1978605984,1979469794,0,0,2640378830,2641332072,40112612,40118061
1732478387735,1732478388218,1980265908,1981128962,0,0,2642266798,2643217122,40126583,40131307
1732478388987,1732478389543,1981911334,1982494778,0,0,2644139523,2644824208,40139893,40145283
1732478390323,1732478390899,1983161072,1983687276,0,0,2645632161,2646262846,40153928,40159545
1732478391778,1732478392350,1984425038,1984964281,0,0,2647160972,2647803537,40169128,40174990
1732478393200,1732478393789,1985686474,1986226018,0,0,2648680136,2649327082,40186294,40193227
1732478394593,1732478395164,1986909222,1987442942,0,0,2650156529,2650793483,40202383,40207902
1732478396007,1732478396579,1988158904,1988689180,0,0,2651662244,2652297295,40217195,40222731
1732478397416,1732478397992,1989397120,1989932146,0,0,2653157234,2653796461,40231914,40237478
1732478398823,1732478399395,1990637460,1991170529,0,0,2654652896,2655289336,40246640,40252273
1732478400272,1732478400846,1991917671,1992449753,0,0,2656196519,2656832665,40263842,40270587
1732478401707,1732478402276,1993179366,1993710944,0,0,2657719079,2658354055,40280285,40285787
1732478403101,1732478403672,1994412385,1994941389,0,0,2659204909,2659838376,40294873,40300402
1732478404461,1732478405032,1995613238,1996140467,0,0,2660652259,2661284095,40309160,40314704
1732478405903,1732478406476,1996883052,1997413152,0,0,2662184494,2662819018,40324210,40330693
1732478407310,1732478407882,1998118659,1998652265,0,0,2663676135,2664313992,40341835,40348062
1732478408762,1732478409333,1999401823,1999931606,0,0,2665223441,2665857135,40357612,40363138
1732478410284,1732478410840,2000655606,2001262274,0,0,2666753013,2667461176,40373336,40378757
1732478411738,1732478412305,2002015765,2002555401,0,0,2668378620,2669020386,40388533,40394015
1732478413162,1732478413735,2003280646,2003815965,0,0,2669901064,2670540794,40404660,40411411
1732478414562,1732478415133,2004519951,2005049007,0,0,2671394691,2672028090,40421240,40426776
1732478415942,1732478416513,2005733990,2006265547,0,0,2672860343,2673495374,40435719,40441239
1732478417310,1732478417879,2006939578,2007471136,0,0,2674313764,2674949611,40450055,40455581
1732478418721,1732478419290,2008184881,2008716015,0,0,2675815541,2676450110,40464807,40470320
