Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
regex-redux,396.65,93.25,0.0,16.04,27409,148.5,0
regex-redux,364.29,92.58,0.0,14.42,24550,148.5,0
regex-redux,365.23,92.15,0.0,14.5,24675,148.5,0
regex-redux,342.41,91.08,0.0,13.46,22705,148.5,0
regex-redux,391.6,92.35,0.0,15.81,27037,148.5,0
regex-redux,396.56,93.82,0.0,15.98,27353,148.5,0
regex-redux,321.1,90.0,0.0,12.4,20879,148.5,0
regex-redux,386.52,90.84,0.0,15.63,26714,148.5,0
regex-redux,387.42,90.37,0.0,15.77,26836,148.5,0
regex-redux,374.81,89.92,0.0,15.18,25735,148.5,0
regex-redux,375.3,91.27,0.0,15.08,25659,148.5,0
regex-redux,306.57,89.39,0.0,11.73,19619,148.5,0
regex-redux,386.77,91.94,0.0,15.57,26636,148.5,0
regex-redux,360.9,92.05,0.0,14.26,24290,148.5,0
regex-redux,385.07,92.35,0.0,15.46,26445,148.5,0
regex-redux,375.6,90.55,0.0,15.08,25754,148.5,0
regex-redux,380.65,92.5,0.0,15.3,26033,148.5,0
regex-redux,377.54,91.29,0.0,15.22,25859,148.5,0
regex-redux,372.57,90.71,0.0,14.96,25464,148.5,0
regex-redux,370.42,91.45,0.0,14.84,25203,148.5,0
regex-redux,360.27,91.33,0.0,14.34,24296,148.5,0
regex-redux,319.91,89.76,0.0,12.35,20792,148.5,0
regex-redux,300.74,88.66,0.0,11.42,19160,148.5,0
regex-redux,318.81,90.88,0.0,12.2,20589,148.5,0
regex-redux,385.32,92.5,0.0,15.56,26453,148.5,0
regex-redux,379.33,92.4,0.0,15.24,25920,148.5,0
regex-redux,343.02,89.96,0.0,13.52,22861,148.5,0
regex-redux,373.47,92.87,0.0,14.92,25349,148.5,0
regex-redux,357.87,92.11,0.0,14.13,24011,148.5,0
regex-redux,357.4,91.98,0.0,14.12,23981,148.5,0
regex-redux,346.32,90.31,0.0,13.63,23131,148.5,0
regex-redux,358.7,89.64,0.0,14.28,24308,148.5,0
regex-redux,379.39,92.73,0.0,15.16,25897,148.5,0
regex-redux,379.39,90.68,0.0,15.35,26085,148.5,0
regex-redux,346.3,90.38,0.0,13.64,23122,148.5,0
regex-redux,381.26,90.95,0.0,15.42,26228,148.5,0
regex-redux,381.52,89.08,0.0,15.46,26424,148.5,0
regex-redux,305.99,89.36,0.0,11.64,19572,148.5,0
regex-redux,334.01,90.34,0.0,13.0,22013,148.5,0
regex-redux,349.38,91.49,0.0,13.72,23299,148.5,0
regex-redux,382.85,92.83,0.0,15.42,26201,148.5,0
regex-redux,361.29,90.46,0.0,14.43,24465,148.5,0
regex-redux,374.69,91.78,0.0,15.03,25557,148.5,0
regex-redux,384.7,92.65,0.0,15.53,26387,148.5,0
regex-redux,315.95,89.93,0.0,12.12,20420,148.5,0
