Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
fannkuch-redux,228.58,64.34,0.0,8.26,14840,1.87,0
fannkuch-redux,227.36,63.38,0.0,8.24,14818,1.87,0
fannkuch-redux,227.91,63.33,0.0,8.27,14872,1.87,0
fannkuch-redux,228.69,63.98,0.0,8.28,14883,1.87,0
fannkuch-redux,229.46,64.89,0.0,8.27,14871,1.87,0
fannkuch-redux,229.48,65.2,0.0,8.26,14845,1.87,0
fannkuch-redux,227.42,63.56,0.0,8.24,14805,1.87,0
fannkuch-redux,227.32,63.46,0.0,8.24,14805,1.87,0
fannkuch-redux,228.01,64.12,0.0,8.24,14809,1.87,0
fannkuch-redux,227.95,64.06,0.0,8.24,14808,1.87,0
fannkuch-redux,227.92,63.74,0.0,8.25,14835,1.87,0
fannkuch-redux,227.85,63.82,0.0,8.24,14821,1.87,0
fannkuch-redux,228.26,64.22,0.0,8.24,14821,1.87,0
fannkuch-redux,227.71,64.04,0.0,8.23,14790,1.87,0
fannkuch-redux,228.07,63.65,0.0,8.26,14856,1.87,0
fannkuch-redux,227.86,63.78,0.0,8.25,14825,1.87,0
fannkuch-redux,228.76,64.62,0.0,8.25,14831,1.87,0
fannkuch-redux,228.78,63.87,0.0,8.29,14900,1.87,0
fannkuch-redux,229.35,64.56,0.0,8.28,14890,1.87,0
fannkuch-redux,229.0,64.46,0.0,8.27,14867,1.87,0
fannkuch-redux,230.29,65.89,0.0,8.26,14854,1.87,0
fannkuch-redux,228.86,64.46,0.0,8.26,14855,1.87,0
fannkuch-redux,229.17,64.54,0.0,8.27,14875,1.87,0
fannkuch-redux,229.95,65.0,0.0,8.29,14905,1.87,0
fannkuch-redux,229.19,64.53,0.0,8.28,14878,1.87,0
fannkuch-redux,228.63,64.14,0.0,8.27,14863,1.87,0
fannkuch-redux,228.83,64.2,0.0,8.27,14875,1.87,0
fannkuch-redux,228.02,63.98,0.0,8.24,14822,1.87,0
fannkuch-redux,227.55,63.6,0.0,8.24,14814,1.87,0
fannkuch-redux,227.65,63.91,0.0,8.23,14796,1.87,0
fannkuch-redux,228.71,64.45,0.0,8.26,14841,1.87,0
fannkuch-redux,228.26,63.55,0.0,8.28,14884,1.87,0
fannkuch-redux,228.04,63.89,0.0,8.25,14832,1.87,0
fannkuch-redux,228.11,63.99,0.0,8.25,14831,1.87,0
fannkuch-redux,227.65,63.89,0.0,8.23,14798,1.87,0
fannkuch-redux,228.54,64.99,0.0,8.22,14779,1.87,0
fannkuch-redux,230.28,66.01,0.0,8.26,14843,1.87,0
fannkuch-redux,230.1,65.18,0.0,8.29,14901,1.87,0
fannkuch-redux,229.69,65.24,0.0,8.27,14860,1.87,0
fannkuch-redux,228.81,64.54,0.0,8.26,14844,1.87,0
fannkuch-redux,227.87,63.8,0.0,8.25,14825,1.87,0
fannkuch-redux,233.72,66.89,0.0,8.43,15075,1.87,0
fannkuch-redux,228.39,64.2,0.0,8.25,14835,1.87,0
fannkuch-redux,228.61,64.11,0.0,8.27,14865,1.87,0
fannkuch-redux,227.27,63.11,0.0,8.25,14834,1.87,0
