Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
division-loop,165.88,10.57,0.0,7.81,14030,0.0,0
division-loop,165.74,10.42,0.0,7.8,14027,0.0,0
division-loop,165.87,10.55,0.0,7.8,14028,0.0,0
division-loop,165.68,10.38,0.0,7.8,14027,0.0,0
division-loop,165.84,10.53,0.0,7.8,14028,0.0,0
division-loop,165.48,10.16,0.0,7.8,14025,0.0,0
division-loop,165.88,10.56,0.0,7.8,14029,0.0,0
division-loop,165.83,10.52,0.0,7.8,14028,0.0,0
division-loop,165.42,10.1,0.0,7.8,14025,0.0,0
division-loop,165.7,10.39,0.0,7.8,14028,0.0,0
division-loop,165.74,10.43,0.0,7.8,14029,0.0,0
division-loop,165.63,10.31,0.0,7.8,14028,0.0,0
division-loop,165.75,10.42,0.0,7.8,14028,0.0,0
division-loop,165.82,10.5,0.0,7.8,14028,0.0,0
division-loop,165.91,10.59,0.0,7.8,14028,0.0,0
division-loop,165.89,10.58,0.0,7.8,14028,0.0,0
division-loop,165.84,10.51,0.0,7.8,14028,0.0,0
division-loop,165.93,10.6,0.0,7.8,14029,0.0,0
division-loop,165.59,10.24,0.0,7.8,14027,0.0,0
division-loop,165.75,10.41,0.0,7.8,14029,0.0,0
division-loop,165.78,10.46,0.0,7.8,14028,0.0,0
division-loop,165.57,10.24,0.0,7.8,14027,0.0,0
division-loop,165.78,10.46,0.0,7.8,14028,0.0,0
division-loop,165.67,10.35,0.0,7.8,14029,0.0,0
division-loop,165.77,10.44,0.0,7.8,14029,0.0,0
division-loop,165.74,10.4,0.0,7.8,14028,0.0,0
division-loop,166.03,10.69,0.0,7.8,14029,0.0,0
division-loop,165.84,10.52,0.0,7.8,14028,0.0,0
division-loop,165.86,10.52,0.0,7.8,14029,0.0,0
division-loop,165.82,10.5,0.0,7.8,14028,0.0,0
division-loop,165.78,10.45,0.0,7.8,14029,0.0,0
division-loop,165.78,10.45,0.0,7.8,14029,0.0,0
division-loop,165.88,10.53,0.0,7.8,14029,0.0,0
division-loop,165.89,10.57,0.0,7.8,14029,0.0,0
division-loop,165.84,10.53,0.0,7.8,14029,0.0,0
division-loop,165.83,10.51,0.0,7.8,14029,0.0,0
division-loop,165.74,10.4,0.0,7.8,14028,0.0,0
division-loop,165.67,10.35,0.0,7.8,14028,0.0,0
division-loop,165.82,10.47,0.0,7.8,14029,0.0,0
division-loop,165.66,10.31,0.0,7.8,14028,0.0,0
division-loop,165.84,10.51,0.0,7.8,14029,0.0,0
division-loop,165.68,10.35,0.0,7.8,14029,0.0,0
division-loop,165.8,10.47,0.0,7.8,14029,0.0,0
division-loop,165.74,10.41,0.0,7.8,14029,0.0,0
division-loop,165.88,10.53,0.0,7.8,14029,0.0,0
