Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
fasta,525.09,102.35,0.0,21.25,38198,12.23,0
fasta,562.93,107.94,0.0,22.87,41113,12.23,0
fasta,531.24,102.01,0.0,21.58,38785,12.23,0
fasta,448.4,90.23,0.0,18.0,32365,12.23,0
fasta,492.3,98.16,0.0,19.81,35614,12.23,0
fasta,551.61,106.94,0.0,22.35,40181,12.23,0
fasta,530.04,101.47,0.0,21.54,38726,12.23,0
fasta,521.25,101.43,0.0,21.1,37937,12.23,0
fasta,567.26,106.39,0.0,23.17,41644,12.23,0
fasta,522.96,99.82,0.0,21.27,38235,12.23,0
fasta,502.76,98.35,0.0,20.33,36543,12.23,0
fasta,524.18,100.98,0.0,21.27,38241,12.23,0
fasta,508.62,97.76,0.0,20.65,37126,12.23,0
fasta,429.43,88.81,0.0,17.12,30780,12.23,0
fasta,477.14,94.12,0.0,19.25,34609,12.23,0
fasta,509.53,99.16,0.0,20.63,37081,12.23,0
fasta,558.24,107.2,0.0,22.67,40755,12.23,0
fasta,435.41,87.99,0.0,17.46,31394,12.23,0
fasta,528.59,101.3,0.0,21.48,38610,12.23,0
fasta,488.8,94.26,0.0,19.83,35650,12.23,0
fasta,442.73,89.51,0.0,17.76,31917,12.23,0
fasta,473.86,92.02,0.0,19.2,34504,12.23,0
fasta,461.62,91.22,0.0,18.62,33469,12.23,0
fasta,483.17,94.85,0.0,19.52,35089,12.23,0
fasta,474.6,93.23,0.0,19.17,34462,12.23,0
fasta,442.93,90.28,0.0,17.73,31865,12.23,0
fasta,480.13,93.93,0.0,19.41,34898,12.23,0
fasta,537.09,103.26,0.0,21.81,39200,12.23,0
fasta,561.11,106.52,0.0,22.85,41077,12.23,0
fasta,569.78,108.77,0.0,23.17,41658,12.23,0
fasta,533.08,101.24,0.0,21.71,39022,12.23,0
fasta,522.5,100.58,0.0,21.21,38125,12.23,0
fasta,493.74,96.03,0.0,19.99,35937,12.23,0
fasta,519.21,100.2,0.0,21.06,37862,12.23,0
fasta,535.36,100.84,0.0,21.84,39262,12.23,0
fasta,516.53,95.99,0.0,21.14,38000,12.23,0
fasta,497.01,95.64,0.0,20.18,36268,12.23,0
fasta,466.66,92.3,0.0,18.82,33828,12.23,0
fasta,505.21,98.44,0.0,20.45,36756,12.23,0
fasta,436.47,88.02,0.0,17.51,31486,12.23,0
fasta,469.94,92.68,0.0,18.96,34089,12.23,0
fasta,458.22,90.43,0.0,18.49,33232,12.23,0
fasta,449.28,88.91,0.0,18.11,32564,12.23,0
fasta,473.67,93.09,0.0,19.13,34389,12.23,0
fasta,455.39,90.86,0.0,18.32,32939,12.23,0
