Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
reverse-complement,448.98,79.99,0.0,18.83,33340,244.12,0
reverse-complement,417.24,74.46,0.0,17.51,30971,244.12,0
reverse-complement,475.5,81.52,0.0,20.08,35598,244.12,0
reverse-complement,446.3,82.05,0.0,18.59,32911,244.12,0
reverse-complement,421.27,77.48,0.0,17.56,31063,244.12,0
reverse-complement,441.95,78.28,0.0,18.56,32859,244.12,0
reverse-complement,425.19,75.46,0.0,17.86,31599,244.12,0
reverse-complement,424.07,78.17,0.0,17.66,31253,244.12,0
reverse-complement,438.3,76.83,0.0,18.45,32660,244.12,0
reverse-complement,437.88,79.79,0.0,18.28,32355,244.12,0
reverse-complement,424.33,76.59,0.0,17.76,31419,244.12,0
reverse-complement,475.25,82.41,0.0,20.02,35495,244.12,0
reverse-complement,485.67,85.69,0.0,20.38,36140,244.12,0
reverse-complement,424.68,78.13,0.0,17.7,31312,244.12,0
reverse-complement,423.86,76.01,0.0,17.76,31430,244.12,0
reverse-complement,425.24,78.26,0.0,17.72,31351,244.12,0
reverse-complement,450.16,78.82,0.0,18.94,33553,244.12,0
reverse-complement,462.87,83.21,0.0,19.36,34304,244.12,0
reverse-complement,457.48,82.98,0.0,19.1,33838,244.12,0
reverse-complement,428.82,78.48,0.0,17.88,31653,244.12,0
reverse-complement,450.19,81.98,0.0,18.79,33268,244.12,0
reverse-complement,450.64,82.27,0.0,18.8,33283,244.12,0
reverse-complement,430.0,77.36,0.0,18.0,31862,244.12,0
reverse-complement,449.99,81.91,0.0,18.78,33257,244.12,0
reverse-complement,425.76,80.09,0.0,17.65,31232,244.12,0
reverse-complement,448.39,82.07,0.0,18.69,33098,244.12,0
reverse-complement,426.89,78.46,0.0,17.79,31482,244.12,0
reverse-complement,422.0,79.15,0.0,17.51,30977,244.12,0
reverse-complement,424.04,79.38,0.0,17.61,31141,244.12,0
reverse-complement,494.9,87.6,0.0,20.75,36802,244.12,0
reverse-complement,445.5,83.7,0.0,18.47,32690,244.12,0
reverse-complement,448.79,83.58,0.0,18.64,32997,244.12,0
reverse-complement,422.21,77.44,0.0,17.61,31151,244.12,0
reverse-complement,421.48,76.41,0.0,17.62,31179,244.12,0
reverse-complement,422.33,78.35,0.0,17.57,31079,244.12,0
reverse-complement,418.96,76.66,0.0,17.49,30928,244.12,0
reverse-complement,461.53,83.68,0.0,19.27,34140,244.12,0
reverse-complement,474.97,85.28,0.0,19.87,35211,244.12,0
reverse-complement,431.84,81.09,0.0,17.91,31691,244.12,0
reverse-complement,440.63,79.58,0.0,18.43,32622,244.12,0
reverse-complement,420.53,76.47,0.0,17.57,31087,244.12,0
reverse-complement,420.86,78.24,0.0,17.5,30958,244.12,0
reverse-complement,451.77,79.66,0.0,18.98,33620,244.12,0
reverse-complement,421.77,75.91,0.0,17.66,31251,244.12,0
reverse-complement,424.83,76.23,0.0,17.8,31497,244.12,0
