Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
mandelbrot,79.72,16.72,0.0,3.19,5692,32.0,0
mandelbrot,93.09,17.23,0.0,3.85,6855,32.0,0
mandelbrot,84.47,16.71,0.0,3.44,6121,32.0,0
mandelbrot,76.72,16.31,0.0,3.07,5458,32.0,0
mandelbrot,79.95,16.51,0.0,3.22,5731,32.0,0
mandelbrot,78.51,16.66,0.0,3.14,5590,32.0,0
mandelbrot,78.51,16.55,0.0,3.15,5599,32.0,0
mandelbrot,76.83,16.38,0.0,3.07,5462,32.0,0
mandelbrot,77.02,16.57,0.0,3.07,5461,32.0,0
mandelbrot,91.83,17.57,0.0,3.77,6711,32.0,0
mandelbrot,92.1,17.61,0.0,3.78,6730,32.0,0
mandelbrot,91.56,17.14,0.0,3.78,6726,32.0,0
mandelbrot,86.43,16.94,0.0,3.53,6279,32.0,0
mandelbrot,76.78,16.35,0.0,3.07,5459,32.0,0
mandelbrot,76.85,16.48,0.0,3.07,5455,32.0,0
mandelbrot,77.08,16.65,0.0,3.07,5461,32.0,0
mandelbrot,77.11,16.71,0.0,3.07,5458,32.0,0
mandelbrot,77.24,16.81,0.0,3.07,5459,32.0,0
mandelbrot,77.03,16.65,0.0,3.07,5457,32.0,0
mandelbrot,76.99,16.53,0.0,3.07,5463,32.0,0
mandelbrot,76.96,16.55,0.0,3.07,5459,32.0,0
mandelbrot,76.82,16.41,0.0,3.07,5460,32.0,0
mandelbrot,76.78,16.38,0.0,3.07,5459,32.0,0
mandelbrot,76.71,16.29,0.0,3.07,5460,32.0,0
mandelbrot,76.67,16.28,0.0,3.07,5457,32.0,0
mandelbrot,76.55,16.17,0.0,3.07,5456,32.0,0
mandelbrot,76.64,16.26,0.0,3.07,5457,32.0,0
mandelbrot,76.62,16.18,0.0,3.07,5461,32.0,0
mandelbrot,76.7,16.35,0.0,3.07,5454,32.0,0
mandelbrot,76.63,16.27,0.0,3.07,5454,32.0,0
mandelbrot,77.54,16.46,0.0,3.11,5520,32.0,0
mandelbrot,76.72,16.31,0.0,3.07,5459,32.0,0
mandelbrot,76.37,15.97,0.0,3.07,5458,32.0,0
mandelbrot,76.52,16.14,0.0,3.07,5457,32.0,0
mandelbrot,76.75,16.28,0.0,3.07,5464,32.0,0
mandelbrot,76.46,16.08,0.0,3.07,5457,32.0,0
mandelbrot,76.77,16.34,0.0,3.07,5461,32.0,0
mandelbrot,76.72,16.29,0.0,3.07,5460,32.0,0
mandelbrot,76.78,16.31,0.0,3.07,5464,32.0,0
mandelbrot,76.6,16.21,0.0,3.07,5457,32.0,0
mandelbrot,76.64,16.14,0.0,3.08,5467,32.0,0
mandelbrot,76.79,16.37,0.0,3.07,5460,32.0,0
mandelbrot,76.68,16.3,0.0,3.07,5458,32.0,0
mandelbrot,76.71,16.32,0.0,3.07,5457,32.0,0
mandelbrot,76.87,16.32,0.0,3.08,5471,32.0,0
