Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
binary-trees,54.76,46.76,0.0,1.02,708,131.25,0
binary-trees,54.61,46.97,0.0,0.99,675,131.25,0
binary-trees,53.5,45.85,0.0,1.0,675,131.25,0
binary-trees,54.15,46.29,0.0,0.98,693,131.25,0
binary-trees,53.97,46.38,0.0,0.98,671,131.25,0
binary-trees,53.65,45.98,0.0,0.98,678,131.25,0
binary-trees,54.2,46.17,0.0,1.02,711,131.25,0
binary-trees,54.77,47.16,0.0,0.99,673,131.25,0
binary-trees,53.82,46.11,0.0,0.97,681,131.25,0
binary-trees,53.95,46.55,0.0,0.97,651,131.25,0
binary-trees,53.33,46.02,0.0,0.96,644,131.25,0
binary-trees,53.55,46.22,0.0,0.96,647,131.25,0
binary-trees,53.95,46.56,0.0,0.96,654,131.25,0
binary-trees,53.58,46.31,0.0,0.96,638,131.25,0
binary-trees,53.39,46.13,0.0,0.97,640,131.25,0
binary-trees,54.26,46.95,0.0,0.96,643,131.25,0
binary-trees,53.28,46.16,0.0,0.96,627,131.25,0
binary-trees,53.48,46.29,0.0,0.98,635,131.25,0
binary-trees,52.97,45.86,0.0,0.95,626,131.25,0
binary-trees,53.73,46.5,0.0,0.97,637,131.25,0
binary-trees,54.18,47.01,0.0,0.96,633,131.25,0
binary-trees,52.94,45.7,0.0,0.97,643,131.25,0
binary-trees,53.89,46.63,0.0,0.97,641,131.25,0
binary-trees,53.51,45.95,0.0,0.99,668,131.25,0
binary-trees,54.1,46.5,0.0,1.0,670,131.25,0
binary-trees,53.83,45.82,0.0,1.0,706,131.25,0
binary-trees,54.2,46.64,0.0,0.98,670,131.25,0
binary-trees,54.41,46.61,0.0,0.98,690,131.25,0
binary-trees,54.26,46.64,0.0,1.0,677,131.25,0
binary-trees,54.66,47.05,0.0,0.98,673,131.25,0
binary-trees,53.18,45.51,0.0,0.98,678,131.25,0
binary-trees,55.11,47.33,0.0,1.0,689,131.25,0
binary-trees,53.37,46.13,0.0,0.97,636,131.25,0
binary-trees,52.83,45.62,0.0,0.96,635,131.25,0
binary-trees,53.19,45.98,0.0,0.96,637,131.25,0
binary-trees,53.43,45.53,0.0,1.01,699,131.25,0
binary-trees,53.44,46.14,0.0,0.98,643,131.25,0
binary-trees,55.18,47.37,0.0,1.0,690,131.25,0
binary-trees,53.41,46.19,0.0,0.98,636,131.25,0
binary-trees,54.98,47.18,0.0,0.99,689,131.25,0
binary-trees,54.48,47.3,0.0,0.98,634,131.25,0
binary-trees,55.54,47.84,0.0,0.98,683,131.25,0
binary-trees,54.91,47.58,0.0,0.97,648,131.25,0
binary-trees,54.41,46.79,0.0,0.99,674,131.25,0
binary-trees,54.51,47.19,0.0,0.97,648,131.25,0
