Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
fasta,577.55,505.87,0.0,3.6,6476,12.23,0
fasta,647.53,559.43,0.0,4.43,7956,12.23,0
fasta,601.87,521.16,0.0,4.06,7295,12.23,0
fasta,664.21,575.37,0.0,4.46,8025,12.23,0
fasta,606.01,519.61,0.0,4.34,7807,12.23,0
fasta,533.71,442.69,0.0,4.57,8223,12.23,0
fasta,523.76,434.28,0.0,4.49,8077,12.23,0
fasta,479.19,397.52,0.0,4.1,7376,12.23,0
fasta,393.76,326.6,0.0,3.37,6066,12.23,0
fasta,408.05,338.36,0.0,3.5,6296,12.23,0
fasta,500.59,415.28,0.0,4.29,7705,12.23,0
fasta,532.57,441.74,0.0,4.56,8199,12.23,0
fasta,444.01,368.39,0.0,3.8,6835,12.23,0
fasta,397.68,329.8,0.0,3.41,6128,12.23,0
fasta,396.45,328.85,0.0,3.4,6107,12.23,0
fasta,478.78,397.09,0.0,4.1,7378,12.23,0
fasta,487.33,404.26,0.0,4.17,7504,12.23,0
fasta,456.85,378.94,0.0,3.92,7039,12.23,0
fasta,397.27,329.58,0.0,3.4,6111,12.23,0
fasta,403.36,334.51,0.0,3.46,6219,12.23,0
fasta,486.18,403.32,0.0,4.16,7484,12.23,0
fasta,444.17,368.43,0.0,3.81,6841,12.23,0
fasta,495.86,411.26,0.0,4.25,7640,12.23,0
fasta,518.07,429.75,0.0,4.44,7975,12.23,0
fasta,518.08,429.76,0.0,4.44,7974,12.23,0
fasta,441.09,365.9,0.0,3.78,6795,12.23,0
fasta,511.91,424.54,0.0,4.39,7891,12.23,0
fasta,520.46,431.72,0.0,4.46,8015,12.23,0
fasta,517.88,429.53,0.0,4.44,7976,12.23,0
fasta,480.17,398.33,0.0,4.11,7394,12.23,0
fasta,528.66,438.52,0.0,4.53,8141,12.23,0
fasta,579.76,480.92,0.0,4.97,8927,12.23,0
fasta,495.81,411.32,0.0,4.24,7627,12.23,0
fasta,470.02,389.79,0.0,4.03,7248,12.23,0
fasta,569.72,472.49,0.0,4.88,8779,12.23,0
fasta,595.23,493.8,0.0,5.1,9164,12.23,0
fasta,420.01,348.43,0.0,3.6,6466,12.23,0
fasta,405.39,336.2,0.0,3.47,6246,12.23,0
fasta,407.43,337.95,0.0,3.49,6277,12.23,0
fasta,404.06,335.14,0.0,3.46,6222,12.23,0
fasta,404.3,335.37,0.0,3.46,6226,12.23,0
fasta,469.04,389.02,0.0,4.02,7227,12.23,0
fasta,411.13,341.1,0.0,3.52,6328,12.23,0
fasta,514.98,427.09,0.0,4.41,7933,12.23,0
fasta,542.39,449.98,0.0,4.64,8350,12.23,0
