Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
division-loop,156.96,104.97,0.0,2.62,4697,0.0,0
division-loop,91.26,63.43,0.0,1.4,2512,0.0,0
division-loop,89.99,62.49,0.0,1.38,2486,0.0,0
division-loop,90.88,63.16,0.0,1.39,2502,0.0,0
division-loop,89.62,62.32,0.0,1.37,2465,0.0,0
division-loop,90.19,62.72,0.0,1.38,2483,0.0,0
division-loop,90.68,62.96,0.0,1.39,2505,0.0,0
division-loop,90.7,62.95,0.0,1.39,2506,0.0,0
division-loop,90.18,62.56,0.0,1.39,2497,0.0,0
division-loop,91.07,63.38,0.0,1.39,2503,0.0,0
division-loop,91.56,64.05,0.0,1.39,2487,0.0,0
division-loop,90.44,62.79,0.0,1.39,2499,0.0,0
division-loop,89.48,62.07,0.0,1.38,2477,0.0,0
division-loop,89.59,62.17,0.0,1.38,2477,0.0,0
division-loop,89.58,62.23,0.0,1.37,2468,0.0,0
division-loop,91.17,63.53,0.0,1.39,2498,0.0,0
division-loop,91.05,63.33,0.0,1.39,2504,0.0,0
division-loop,90.08,62.63,0.0,1.38,2480,0.0,0
division-loop,90.01,62.5,0.0,1.38,2486,0.0,0
division-loop,90.96,63.18,0.0,1.4,2508,0.0,0
division-loop,92.03,64.23,0.0,1.4,2512,0.0,0
division-loop,91.97,64.16,0.0,1.4,2511,0.0,0
division-loop,91.81,64.05,0.0,1.4,2510,0.0,0
division-loop,92.08,64.27,0.0,1.4,2511,0.0,0
division-loop,91.76,63.96,0.0,1.4,2510,0.0,0
division-loop,91.13,63.42,0.0,1.39,2504,0.0,0
division-loop,91.45,63.69,0.0,1.4,2511,0.0,0
division-loop,91.47,63.86,0.0,1.39,2493,0.0,0
division-loop,91.55,63.92,0.0,1.39,2496,0.0,0
division-loop,90.47,62.99,0.0,1.38,2482,0.0,0
division-loop,92.25,64.46,0.0,1.4,2512,0.0,0
division-loop,91.71,63.99,0.0,1.39,2503,0.0,0
division-loop,92.14,64.34,0.0,1.4,2512,0.0,0
division-loop,90.51,63.13,0.0,1.38,2475,0.0,0
division-loop,90.25,62.86,0.0,1.38,2474,0.0,0
division-loop,91.02,63.42,0.0,1.39,2492,0.0,0
division-loop,92.54,64.76,0.0,1.4,2512,0.0,0
division-loop,91.75,63.95,0.0,1.4,2510,0.0,0
division-loop,92.38,64.58,0.0,1.4,2512,0.0,0
division-loop,91.78,64.01,0.0,1.4,2510,0.0,0
division-loop,92.08,64.27,0.0,1.4,2511,0.0,0
division-loop,92.21,64.42,0.0,1.4,2511,0.0,0
division-loop,90.75,63.26,0.0,1.38,2483,0.0,0
division-loop,90.23,62.85,0.0,1.38,2473,0.0,0
division-loop,90.16,62.79,0.0,1.38,2473,0.0,0
