Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
mandelbrot,153.09,138.74,0.0,0.74,1296,32.0,0
mandelbrot,149.71,135.54,0.0,0.73,1279,32.0,0
mandelbrot,151.35,137.0,0.0,0.77,1295,32.0,0
mandelbrot,149.9,135.72,0.0,0.73,1279,32.0,0
mandelbrot,149.59,135.49,0.0,0.73,1279,32.0,0
mandelbrot,150.1,135.93,0.0,0.74,1280,32.0,0
mandelbrot,150.23,136.13,0.0,0.73,1279,32.0,0
mandelbrot,149.89,135.52,0.0,0.75,1301,32.0,0
mandelbrot,150.28,135.85,0.0,0.75,1303,32.0,0
mandelbrot,150.34,136.01,0.0,0.74,1299,32.0,0
mandelbrot,149.59,135.22,0.0,0.74,1303,32.0,0
mandelbrot,149.9,135.53,0.0,0.74,1301,32.0,0
mandelbrot,149.58,135.2,0.0,0.74,1302,32.0,0
mandelbrot,137.45,122.43,0.0,0.77,1359,32.0,0
mandelbrot,99.46,82.49,0.0,0.87,1533,32.0,0
mandelbrot,99.53,82.6,0.0,0.87,1532,32.0,0
mandelbrot,99.54,82.58,0.0,0.87,1533,32.0,0
mandelbrot,99.55,82.61,0.0,0.87,1532,32.0,0
mandelbrot,99.72,82.81,0.0,0.87,1529,32.0,0
mandelbrot,99.9,82.99,0.0,0.87,1528,32.0,0
mandelbrot,100.03,83.09,0.0,0.87,1529,32.0,0
mandelbrot,100.07,83.12,0.0,0.87,1530,32.0,0
mandelbrot,100.05,83.16,0.0,0.87,1531,32.0,0
mandelbrot,100.01,83.05,0.0,0.87,1533,32.0,0
mandelbrot,99.74,82.76,0.0,0.87,1534,32.0,0
mandelbrot,99.8,82.83,0.0,0.87,1533,32.0,0
mandelbrot,99.85,82.87,0.0,0.87,1534,32.0,0
mandelbrot,99.86,82.88,0.0,0.87,1534,32.0,0
mandelbrot,99.91,82.93,0.0,0.87,1534,32.0,0
mandelbrot,99.98,83.0,0.0,0.87,1535,32.0,0
mandelbrot,99.94,82.97,0.0,0.87,1536,32.0,0
mandelbrot,99.96,82.97,0.0,0.87,1535,32.0,0
mandelbrot,100.08,83.07,0.0,0.87,1535,32.0,0
mandelbrot,100.05,83.08,0.0,0.87,1536,32.0,0
mandelbrot,100.1,83.07,0.0,0.88,1539,32.0,0
mandelbrot,100.08,83.09,0.0,0.87,1537,32.0,0
mandelbrot,99.96,82.96,0.0,0.87,1537,32.0,0
mandelbrot,100.04,83.04,0.0,0.87,1535,32.0,0
mandelbrot,100.01,83.02,0.0,0.87,1536,32.0,0
mandelbrot,100.03,83.03,0.0,0.87,1537,32.0,0
mandelbrot,100.16,83.17,0.0,0.87,1537,32.0,0
mandelbrot,100.12,83.11,0.0,0.87,1537,32.0,0
mandelbrot,100.1,83.11,0.0,0.87,1535,32.0,0
mandelbrot,100.07,83.06,0.0,0.87,1536,32.0,0
mandelbrot,100.09,83.12,0.0,0.87,1538,32.0,0
