Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
mandelbrot,94.58,81.7,0.0,0.67,1165,32.0,0
mandelbrot,91.83,79.83,0.0,0.62,1083,32.0,0
mandelbrot,91.55,79.75,0.0,0.62,1070,32.0,0
mandelbrot,92.55,80.6,0.0,0.62,1074,32.0,0
mandelbrot,91.73,79.93,0.0,0.62,1065,32.0,0
mandelbrot,91.46,79.97,0.0,0.61,1036,32.0,0
mandelbrot,90.49,78.95,0.0,0.61,1045,32.0,0
mandelbrot,91.33,79.66,0.0,0.62,1048,32.0,0
mandelbrot,90.4,78.8,0.0,0.61,1047,32.0,0
mandelbrot,91.66,79.98,0.0,0.62,1058,32.0,0
mandelbrot,90.16,78.78,0.0,0.61,1031,32.0,0
mandelbrot,91.32,79.64,0.0,0.62,1053,32.0,0
mandelbrot,91.11,79.52,0.0,0.62,1050,32.0,0
mandelbrot,91.07,79.33,0.0,0.62,1057,32.0,0
mandelbrot,91.2,79.59,0.0,0.62,1050,32.0,0
mandelbrot,90.37,78.82,0.0,0.62,1042,32.0,0
mandelbrot,90.83,79.17,0.0,0.62,1049,32.0,0
mandelbrot,106.36,89.87,0.0,0.86,1489,32.0,0
mandelbrot,98.39,84.74,0.0,0.72,1234,32.0,0
mandelbrot,89.95,78.57,0.0,0.61,1027,32.0,0
mandelbrot,90.56,78.9,0.0,0.62,1049,32.0,0
mandelbrot,91.0,79.29,0.0,0.62,1056,32.0,0
mandelbrot,91.23,79.66,0.0,0.61,1047,32.0,0
mandelbrot,91.38,79.71,0.0,0.62,1051,32.0,0
mandelbrot,105.72,89.32,0.0,0.86,1483,32.0,0
mandelbrot,91.94,80.2,0.0,0.62,1063,32.0,0
mandelbrot,91.87,80.22,0.0,0.62,1049,32.0,0
mandelbrot,91.21,79.57,0.0,0.62,1055,32.0,0
mandelbrot,91.33,79.62,0.0,0.62,1059,32.0,0
mandelbrot,91.44,79.7,0.0,0.62,1060,32.0,0
mandelbrot,90.97,79.31,0.0,0.62,1054,32.0,0
mandelbrot,95.7,78.64,0.0,0.89,1538,32.0,0
mandelbrot,88.84,75.22,0.0,0.72,1228,32.0,0
mandelbrot,76.2,63.86,0.0,0.65,1114,32.0,0
mandelbrot,88.13,70.85,0.0,0.9,1558,32.0,0
mandelbrot,99.19,82.24,0.0,0.88,1530,32.0,0
mandelbrot,98.67,81.95,0.0,0.87,1510,32.0,0
mandelbrot,95.59,79.56,0.0,0.84,1445,32.0,0
mandelbrot,89.36,74.9,0.0,0.76,1305,32.0,0
mandelbrot,77.9,65.59,0.0,0.65,1110,32.0,0
mandelbrot,73.35,60.79,0.0,0.66,1132,32.0,0
mandelbrot,72.82,60.33,0.0,0.66,1130,32.0,0
mandelbrot,73.34,60.81,0.0,0.66,1131,32.0,0
mandelbrot,72.97,60.49,0.0,0.66,1131,32.0,0
mandelbrot,72.67,60.16,0.0,0.66,1129,32.0,0
