Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
n-body,75.83,52.3,0.0,1.18,2128,1.87,0
n-body,73.92,50.92,0.0,1.16,2078,1.87,0
n-body,76.01,52.56,0.0,1.18,2118,1.87,0
n-body,73.9,50.9,0.0,1.16,2078,1.87,0
n-body,73.85,50.86,0.0,1.15,2075,1.87,0
n-body,76.21,52.77,0.0,1.18,2119,1.87,0
n-body,73.81,50.84,0.0,1.15,2075,1.87,0
n-body,75.05,51.82,0.0,1.17,2099,1.87,0
n-body,73.92,50.95,0.0,1.16,2079,1.87,0
n-body,76.2,52.76,0.0,1.18,2119,1.87,0
n-body,73.8,50.82,0.0,1.15,2074,1.87,0
n-body,74.46,51.36,0.0,1.16,2089,1.87,0
n-body,73.92,50.91,0.0,1.16,2077,1.87,0
n-body,73.86,50.87,0.0,1.15,2076,1.87,0
n-body,73.83,50.88,0.0,1.15,2075,1.87,0
n-body,73.82,50.87,0.0,1.15,2075,1.87,0
n-body,75.61,52.4,0.0,1.17,2097,1.87,0
n-body,73.86,50.88,0.0,1.15,2076,1.87,0
n-body,75.26,51.98,0.0,1.17,2103,1.87,0
n-body,76.03,52.58,0.0,1.18,2116,1.87,0
n-body,73.85,50.87,0.0,1.15,2076,1.87,0
n-body,75.65,52.3,0.0,1.17,2110,1.87,0
n-body,76.38,52.92,0.0,1.18,2120,1.87,0
n-body,73.87,50.88,0.0,1.15,2076,1.87,0
n-body,75.06,51.83,0.0,1.17,2098,1.87,0
n-body,73.95,50.95,0.0,1.16,2077,1.87,0
n-body,73.86,50.9,0.0,1.15,2075,1.87,0
n-body,73.95,50.97,0.0,1.15,2076,1.87,0
n-body,76.23,52.75,0.0,1.18,2118,1.87,0
n-body,73.86,50.9,0.0,1.15,2074,1.87,0
n-body,75.59,52.26,0.0,1.17,2108,1.87,0
n-body,73.93,50.96,0.0,1.15,2076,1.87,0
n-body,73.96,50.98,0.0,1.15,2076,1.87,0
n-body,73.92,50.97,0.0,1.15,2074,1.87,0
n-body,73.82,50.86,0.0,1.15,2074,1.87,0
n-body,74.67,51.54,0.0,1.16,2090,1.87,0
n-body,73.92,50.94,0.0,1.15,2076,1.87,0
n-body,73.89,50.92,0.0,1.15,2075,1.87,0
n-body,74.0,51.03,0.0,1.15,2076,1.87,0
n-body,73.9,50.92,0.0,1.15,2075,1.87,0
n-body,73.93,50.95,0.0,1.15,2075,1.87,0
n-body,76.24,52.79,0.0,1.18,2120,1.87,0
n-body,73.92,50.93,0.0,1.16,2077,1.87,0
n-body,76.26,52.82,0.0,1.18,2117,1.87,0
n-body,73.98,51.03,0.0,1.15,2075,1.87,0
