Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
mandelbrot,39.56,10.89,0.0,1.45,2590,32.0,0
mandelbrot,39.45,10.85,0.0,1.44,2585,32.0,0
mandelbrot,39.34,10.76,0.0,1.45,2584,32.0,0
mandelbrot,39.27,10.73,0.0,1.45,2579,32.0,0
mandelbrot,39.08,10.62,0.0,1.45,2573,32.0,0
mandelbrot,39.23,10.69,0.0,1.45,2580,32.0,0
mandelbrot,39.34,10.72,0.0,1.46,2587,32.0,0
mandelbrot,39.41,10.84,0.0,1.45,2581,32.0,0
mandelbrot,39.35,10.81,0.0,1.45,2579,32.0,0
mandelbrot,39.49,10.86,0.0,1.46,2587,32.0,0
mandelbrot,39.2,10.59,0.0,1.46,2587,32.0,0
mandelbrot,39.07,10.53,0.0,1.45,2578,32.0,0
mandelbrot,39.18,10.73,0.0,1.45,2572,32.0,0
mandelbrot,39.4,10.85,0.0,1.45,2580,32.0,0
mandelbrot,39.24,10.64,0.0,1.45,2583,32.0,0
mandelbrot,39.33,10.81,0.0,1.45,2578,32.0,0
mandelbrot,39.43,10.88,0.0,1.45,2579,32.0,0
mandelbrot,39.36,10.83,0.0,1.45,2578,32.0,0
mandelbrot,39.3,10.84,0.0,1.45,2572,32.0,0
mandelbrot,39.14,10.62,0.0,1.45,2577,32.0,0
mandelbrot,39.4,10.79,0.0,1.46,2586,32.0,0
mandelbrot,39.36,10.74,0.0,1.46,2586,32.0,0
mandelbrot,39.34,10.81,0.0,1.45,2580,32.0,0
mandelbrot,39.44,10.84,0.0,1.46,2586,32.0,0
mandelbrot,39.24,10.7,0.0,1.45,2580,32.0,0
mandelbrot,39.08,10.61,0.0,1.45,2573,32.0,0
mandelbrot,39.03,10.56,0.0,1.45,2573,32.0,0
mandelbrot,39.07,10.61,0.0,1.45,2572,32.0,0
mandelbrot,39.48,10.85,0.0,1.46,2587,32.0,0
mandelbrot,39.41,10.79,0.0,1.46,2587,32.0,0
mandelbrot,39.25,10.78,0.0,1.45,2573,32.0,0
mandelbrot,39.28,10.73,0.0,1.45,2579,32.0,0
mandelbrot,39.27,10.77,0.0,1.45,2576,32.0,0
mandelbrot,39.22,10.75,0.0,1.45,2573,32.0,0
mandelbrot,39.47,10.84,0.0,1.46,2586,32.0,0
mandelbrot,39.4,10.86,0.0,1.45,2580,32.0,0
mandelbrot,39.32,10.78,0.0,1.45,2580,32.0,0
mandelbrot,39.41,10.86,0.0,1.45,2579,32.0,0
mandelbrot,39.37,10.85,0.0,1.45,2577,32.0,0
mandelbrot,39.29,10.84,0.0,1.45,2573,32.0,0
mandelbrot,39.53,10.9,0.0,1.46,2588,32.0,0
mandelbrot,39.36,10.83,0.0,1.45,2579,32.0,0
mandelbrot,39.53,10.89,0.0,1.46,2588,32.0,0
mandelbrot,39.39,10.88,0.0,1.45,2575,32.0,0
mandelbrot,39.39,10.86,0.0,1.45,2578,32.0,0
