Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
n-body,190.16,16.73,0.0,8.72,15671,1.87,0
n-body,190.66,17.07,0.0,8.73,15687,1.87,0
n-body,190.19,16.61,0.0,8.72,15685,1.87,0
n-body,190.67,17.1,0.0,8.73,15686,1.87,0
n-body,190.09,16.52,0.0,8.72,15686,1.87,0
n-body,191.39,17.8,0.0,8.73,15685,1.87,0
n-body,191.56,17.97,0.0,8.73,15686,1.87,0
n-body,191.53,17.95,0.0,8.72,15686,1.87,0
n-body,188.12,14.69,0.0,8.72,15673,1.87,0
n-body,188.04,14.64,0.0,8.72,15671,1.87,0
n-body,188.63,15.06,0.0,8.73,15686,1.87,0
n-body,187.1,13.55,0.0,8.73,15686,1.87,0
n-body,187.48,14.04,0.0,8.72,15677,1.87,0
n-body,189.11,15.83,0.0,8.71,15659,1.87,0
n-body,187.91,14.72,0.0,8.71,15650,1.87,0
n-body,187.92,14.36,0.0,8.72,15686,1.87,0
n-body,187.58,14.03,0.0,8.72,15686,1.87,0
n-body,191.0,17.4,0.0,8.73,15685,1.87,0
n-body,190.97,17.4,0.0,8.72,15685,1.87,0
n-body,187.7,14.14,0.0,8.73,15686,1.87,0
n-body,186.97,13.43,0.0,8.72,15686,1.87,0
n-body,186.64,13.47,0.0,8.71,15651,1.87,0
n-body,188.34,14.94,0.0,8.72,15671,1.87,0
n-body,189.12,15.78,0.0,8.71,15665,1.87,0
n-body,189.78,16.22,0.0,8.73,15686,1.87,0
n-body,190.97,17.38,0.0,8.73,15685,1.87,0
n-body,188.44,14.88,0.0,8.72,15686,1.87,0
n-body,187.83,14.28,0.0,8.73,15686,1.87,0
n-body,186.54,13.01,0.0,8.73,15686,1.87,0
n-body,188.39,14.83,0.0,8.72,15685,1.87,0
n-body,187.77,14.21,0.0,8.73,15686,1.87,0
n-body,188.58,15.0,0.0,8.73,15686,1.87,0
n-body,188.33,14.76,0.0,8.73,15686,1.87,0
n-body,189.2,15.63,0.0,8.73,15686,1.87,0
n-body,187.78,14.6,0.0,8.71,15651,1.87,0
n-body,187.38,13.84,0.0,8.73,15686,1.87,0
n-body,187.03,13.48,0.0,8.73,15686,1.87,0
n-body,187.38,13.84,0.0,8.72,15686,1.87,0
n-body,189.21,15.65,0.0,8.73,15686,1.87,0
n-body,187.28,13.76,0.0,8.72,15684,1.87,0
n-body,186.5,13.31,0.0,8.71,15653,1.87,0
n-body,187.23,13.68,0.0,8.73,15686,1.87,0
n-body,187.01,13.85,0.0,8.71,15651,1.87,0
n-body,187.23,13.69,0.0,8.73,15685,1.87,0
n-body,187.45,13.92,0.0,8.72,15686,1.87,0
