Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
regex-redux,50.67,8.48,0.0,2.37,3812,148.5,0
regex-redux,50.46,8.37,0.0,2.37,3801,148.5,0
regex-redux,50.38,8.24,0.0,2.37,3806,148.5,0
regex-redux,50.12,8.03,0.0,2.38,3803,148.5,0
regex-redux,50.04,7.95,0.0,2.37,3803,148.5,0
regex-redux,49.09,8.37,0.0,2.31,3678,148.5,0
regex-redux,50.43,8.22,0.0,2.38,3813,148.5,0
regex-redux,50.29,8.14,0.0,2.38,3808,148.5,0
regex-redux,50.44,8.28,0.0,2.39,3808,148.5,0
regex-redux,50.49,8.34,0.0,2.38,3809,148.5,0
regex-redux,50.21,8.09,0.0,2.38,3805,148.5,0
regex-redux,50.3,8.19,0.0,2.38,3804,148.5,0
regex-redux,50.66,8.53,0.0,2.38,3805,148.5,0
regex-redux,50.26,8.17,0.0,2.38,3803,148.5,0
regex-redux,50.09,7.98,0.0,2.38,3804,148.5,0
regex-redux,50.04,7.93,0.0,2.38,3803,148.5,0
regex-redux,50.89,8.26,0.0,2.41,3851,148.5,0
regex-redux,50.35,8.25,0.0,2.38,3805,148.5,0
regex-redux,50.2,8.11,0.0,2.37,3802,148.5,0
regex-redux,50.12,7.99,0.0,2.38,3805,148.5,0
regex-redux,50.17,8.04,0.0,2.38,3806,148.5,0
regex-redux,50.19,8.08,0.0,2.38,3804,148.5,0
regex-redux,50.16,8.07,0.0,2.38,3803,148.5,0
regex-redux,50.34,8.17,0.0,2.37,3809,148.5,0
regex-redux,50.54,8.36,0.0,2.38,3811,148.5,0
regex-redux,50.62,8.44,0.0,2.37,3809,148.5,0
regex-redux,48.86,8.21,0.0,2.3,3673,148.5,0
regex-redux,50.31,8.18,0.0,2.37,3806,148.5,0
regex-redux,51.18,8.19,0.0,2.42,3883,148.5,0
regex-redux,50.12,7.95,0.0,2.38,3809,148.5,0
regex-redux,50.52,8.36,0.0,2.37,3808,148.5,0
regex-redux,50.21,8.06,0.0,2.36,3808,148.5,0
regex-redux,50.3,8.17,0.0,2.37,3806,148.5,0
regex-redux,50.46,8.33,0.0,2.37,3806,148.5,0
regex-redux,50.29,8.15,0.0,2.38,3807,148.5,0
regex-redux,50.29,8.17,0.0,2.37,3804,148.5,0
regex-redux,50.28,8.14,0.0,2.37,3806,148.5,0
regex-redux,50.2,8.09,0.0,2.38,3804,148.5,0
regex-redux,50.2,8.1,0.0,2.38,3803,148.5,0
regex-redux,50.23,8.13,0.0,2.38,3804,148.5,0
regex-redux,50.52,8.43,0.0,2.37,3802,148.5,0
regex-redux,51.01,8.37,0.0,2.4,3851,148.5,0
regex-redux,50.5,8.39,0.0,2.37,3803,148.5,0
regex-redux,50.54,8.4,0.0,2.37,3806,148.5,0
regex-redux,50.3,8.2,0.0,2.38,3803,148.5,0
