Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
mandelbrot,106.17,29.22,0.0,3.89,6953,32.0,0
mandelbrot,103.4,28.55,0.0,3.78,6764,32.0,0
mandelbrot,104.7,28.94,0.0,3.88,6845,32.0,0
mandelbrot,103.41,28.55,0.0,3.79,6764,32.0,0
mandelbrot,103.4,28.55,0.0,3.78,6764,32.0,0
mandelbrot,103.55,28.6,0.0,3.8,6773,32.0,0
mandelbrot,103.5,28.59,0.0,3.79,6769,32.0,0
mandelbrot,102.82,28.43,0.0,3.76,6722,32.0,0
mandelbrot,102.9,28.45,0.0,3.77,6727,32.0,0
mandelbrot,102.8,28.43,0.0,3.76,6720,32.0,0
mandelbrot,102.8,28.43,0.0,3.76,6720,32.0,0
mandelbrot,102.85,28.43,0.0,3.77,6724,32.0,0
mandelbrot,102.76,28.42,0.0,3.76,6719,32.0,0
mandelbrot,102.77,28.41,0.0,3.76,6719,32.0,0
mandelbrot,102.8,28.42,0.0,3.76,6721,32.0,0
mandelbrot,102.85,28.42,0.0,3.76,6725,32.0,0
mandelbrot,102.74,28.4,0.0,3.76,6718,32.0,0
mandelbrot,102.77,28.41,0.0,3.76,6720,32.0,0
mandelbrot,102.72,28.37,0.0,3.76,6717,32.0,0
mandelbrot,102.75,28.4,0.0,3.76,6717,32.0,0
mandelbrot,102.89,28.45,0.0,3.77,6726,32.0,0
mandelbrot,102.78,28.4,0.0,3.76,6720,32.0,0
mandelbrot,102.75,28.4,0.0,3.76,6718,32.0,0
mandelbrot,102.76,28.4,0.0,3.76,6718,32.0,0
mandelbrot,102.73,28.39,0.0,3.76,6717,32.0,0
mandelbrot,102.87,28.46,0.0,3.77,6724,32.0,0
mandelbrot,103.08,28.52,0.0,3.77,6737,32.0,0
mandelbrot,102.74,28.4,0.0,3.76,6717,32.0,0
mandelbrot,102.85,28.43,0.0,3.77,6724,32.0,0
mandelbrot,102.78,28.4,0.0,3.76,6722,32.0,0
mandelbrot,102.77,28.41,0.0,3.76,6719,32.0,0
mandelbrot,102.81,28.42,0.0,3.77,6722,32.0,0
mandelbrot,102.73,28.39,0.0,3.76,6717,32.0,0
mandelbrot,102.74,28.39,0.0,3.76,6717,32.0,0
mandelbrot,102.79,28.4,0.0,3.76,6722,32.0,0
mandelbrot,102.81,28.41,0.0,3.76,6723,32.0,0
mandelbrot,102.79,28.41,0.0,3.76,6721,32.0,0
mandelbrot,102.88,28.44,0.0,3.77,6727,32.0,0
mandelbrot,102.8,28.41,0.0,3.76,6721,32.0,0
mandelbrot,102.88,28.42,0.0,3.77,6728,32.0,0
mandelbrot,102.73,28.38,0.0,3.76,6718,32.0,0
mandelbrot,102.72,28.37,0.0,3.76,6718,32.0,0
mandelbrot,102.75,28.39,0.0,3.76,6719,32.0,0
mandelbrot,102.8,28.4,0.0,3.76,6723,32.0,0
mandelbrot,102.75,28.41,0.0,3.76,6719,32.0,0
